lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
16308,lydda,\N,main,[lydːa],n.,f.,"<div class=""oldnorse bodytext""><i>lazy villain</i>.</div>",lazy villain.,lazy villain
16309,lyf,\N,main,[lyv],n.,n.,"<div class=""oldnorse bodytext""><i>medicine, healing herb</i>; ekki l., <i>nought, not the least</i>.</div>","medicine, healing herb; ekki l., nought, not the least.","medicine, healing herb"
16310,lyfja,\N,main,[lyvja],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to heal</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ <span class=""p"">e-m</span><span class=""p"">e-t</span>, <i>to cure one of</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ <span class=""p"">e-m</span> elli, <i>to kill one</i>.</div>","(að), to heal;\n~ e-m e-t, to cure one of;\n~ e-m elli, to kill one.",to heal
16311,lyfsteinn,\N,main,[lyfstɛinː],n.,m.,"<div class=""oldnorse bodytext""><i>healing stone, stone of special virtue</i>.</div>","healing stone, stone of special virtue.","healing stone, stone of special virtue"
16312,lygð,\N,main,[lyɣð],n.,f.,"<div class=""oldnorse bodytext""><i>lie, falsehood</i>, = <span class=""ref"">lygi</span>.</div>","lie, falsehood, = lygi.","lie, falsehood"
16313,lygi,[1],main,[lyɣi],n.,f.,"<div class=""oldnorse bodytext""><span class=""p"">pl.</span> lygar), <i>lie, falsehood</i> (þat er ok in mesta ~).</div>","pl. lygar), lie, falsehood (þat er ok in mesta ~).","lie, falsehood"
16313,lygi,[2],main,[lyɣi],\N,\N,"<div class=""oldnorse bodytext""><span class=""ref"">ljúga</span>.</div>",ljúga.,ljúga.
16314,lygikonungr,\N,main,[lyɣikɔnunɣr],n.,m.,"<div class=""oldnorse bodytext""><i>false king</i>.</div>",false king.,false king
16315,lygikvittr,\N,main,[lyɣikvitːr],n.,m.,"<div class=""oldnorse bodytext""><i>false rumour</i>.</div>",false rumour.,false rumour
16316,lygilauss,\N,main,[lyɣilɒusː],\N,\N,\N,\N,\N
16317,réttorðr,\N,main,[reːtːɔrðr],adj.,\N,"<div class=""oldnorse bodytext""><i>truthful</i>.</div>",truthful.,truthful
16318,lygiligr,\N,main,[lyɣiliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>false</i> (lygilig orð).</div>",false (lygilig orð).,false
16319,lygimaðr,\N,main,[lyɣimaðr],n.,m.,"<div class=""oldnorse bodytext""><i>liar, impostor</i>.</div>","liar, impostor.","liar, impostor"
16320,lygisaga,\N,main,[lyɣisaɣa],n.,f.,"<div class=""oldnorse bodytext""><i>false news, untrue story</i>.</div>","false news, untrue story.","false news, untrue story"
16321,lygn,\N,main,[lyɣn],adj.,\N,"<div class=""oldnorse bodytext""><i>calm, smooth</i>, of wind and waves (var veðr gott ok ~t).</div>","calm, smooth, of wind and waves (var veðr gott ok ~t).","calm, smooth"
16322,lygna,\N,main,[lyɣna],v.,\N,"<div class=""oldnorse bodytext"">(-di, -t), <span class=""p"">impers.</span><i>to become calm</i> (lygndi veðrit).</div>","(-di, -t), impers. to become calm (lygndi veðrit).",to become calm
16323,lykill,\N,main,[lykilː],n.,m.,"<div class=""oldnorse bodytext"">(<span class=""p"">pl.</span> luklar and lyklar), <i>key</i>.</div>","(pl. luklar and lyklar), key.",key
16324,lykilslaust,\N,main,[lykilslɒust],adv.,\N,"<div class=""oldnorse bodytext""><i>without using a key</i> (lúka upp lás ~).</div>",without using a key (lúka upp lás ~).,without using a key
16325,lykja,\N,main,[lykja],v.,\N,"<div class=""oldnorse bodytext"">(lyk, lukta, luktr), </div>","(lyk, lukta, luktr),","to shut in, enclose, close"
16325,lykja,X.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to shut in, enclose, close</i>; l. <span class=""p"">e-n</span> í myrkvastofu, <i>to shut one up in a dungeon</i>;</div>","to shut in, enclose, close; l. e-n í myrkvastofu, to shut one up in a dungeon;",\N
