eng_abbrev,source_abbrev,full_language_name,wikt_lang_key,lang_index,Glottolog_lang
ORuss.,"aruss,aruss.",Old Russian,Russian,151,Russian [russ1263][rus]-l-
Russ.,"rus.,russ,russ.",Russian,Russian,151,Russian [russ1263][rus]-l-
Russ.dial.,"russ. dial.,russ.-mdartl.",Russian (dialectal),Russian,151,Russian [russ1263][rus]-l-
WRuss.,"wru.,wruss.",West Russian,Russian,151,Russian [russ1263][rus]-l-
UItal.,oberital.,Upper Italic,,3123,Sabellic [sabe1249]
Sabin.,"(sabin.,sabin.",Sabine,Sabine,3126,Sabine [sabi1245][sbv]
Sak.,"nordar.,sakisch",Saka,,2454,Saka [saka1298]
Lith.samo.,"lit. žem.,lit. žemait.,lit. Ã…Â¾em. dial.,žemait.,žem.,žem,žemait.",Lithuanian (Samogitian),Samogitian,136,Samogitian [samo1265][sgs]
Lith.WSamo,lit. dial. (west žem.),Lithuanian (West Samogitian),Samogitian,139,Samogitian [west2347][sgs]
KS," (KS).,KS",Sanskrit (Kauṣika-Sūtra),Sanskrit,2068,Sanskrit [sans1269][san]-l-
MS," (MS).,MS",Sanskrit (Maitrāyaṇī-Saṃhitā),Sanskrit,2068,Sanskrit [sans1269][san]-l-
Skt.,"ai,ai.,ai..,ait.",Sanskrit,Sanskrit,2068,Sanskrit [sans1269][san]-l-
TS,"TS.,TS",Sanskrit (T?ittir?ya-Sa?hit?),Sanskrit,2068,Sanskrit [sans1269][san]-l-
YV," (YV).,YV.,YV",Sanskrit (Yajurveda),"Sanskrit, Vedic_Sanskrit",2068,Sanskrit [sans1269][san]-l-
AV," (AV).,AV.,AV","Sanskrit (Atharva-Veda),Atharva-Veda","Sanskrit, Vedic_Sanskrit,Vedic_Sanskrit","2068,2070","Sanskrit [sans1269][san]-l-,Vedic Sanskrit [vedi1234]"
Savoy.,savoy.,Savoyard,,2892,Savoyard [savo1253]
Scots.gal,"schott.-gael.,schott.-gäl.",Scots Gaelic,,345,Scottish Gaelic [scot1245][gla]-l-
Croat.,"croat.,kroat.",Croatian,,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
OSCroat.,altskr.,Old Serbo-Croatian,Serbo_Croatian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
SCroat.,"skr,skr.",Serbo-Croatian,Serbo-Croatian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
SCroat.dial.,skr. dial.,Serbo-Croatian (dial.),Serbo-Croatian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
Serb.,"serb,serb.",Serbian,Serbian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
Serb.croat.,serbokr.,Serbo-Croatian,Serbo-Croatian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
Serb.dial.,serb. dial.,Serbian (dialectal),Serbian,229,Serbian-Croatian-Bosnian [sout1528][hbs]-l-
Shug.,Âšughni.,Shugni,Shughni,2078,Shughni [shug1248][sgh]-l-
Pam.,"pam.,pām.,pāmir,pāmir.",Pamir,Pamir,"2074, 2096, 2465, 2457","Shughni-Yazgulami [shug1237], Munji [munj1244][mnj]-l-, Sanglechi-Ishkashimi [sang1343][sgl], Wakhi [wakh1245][wbl]-l-"
Pam.dial.,"pamir dial.,pamird.,pāmird.,pamirdial.",Pamir (dialectal),Pamir,"2074, 2096, 2465, 2457","Shughni-Yazgulami [shug1237], Munji [munj1244][mnj]-l-, Sanglechi-Ishkashimi [sang1343][sgl], Wakhi [wakh1245][wbl]-l-"
Sindh.,sindhi.,Sindhi,Sindhi,1274,Sindhi [sind1272][snd]-l-
PSlav.,"ursl.,urslav.",Proto-Slavic,Proto-Slavic,144,Slavic [slav1255]
Slav.,"skl.,sl.,sla.,slav.,Slav.",Slavic,,144,Slavic [slav1255]
Slav.dial.,slav. dial.,Slavic (dialectal),,144,Slavic [slav1255]
Slovak.,slovak.,Slovak,Slovak,274,Slovak [slov1269][slk]-l-
Mod.Slov.,"nslov.,nsloven.",Modern Slovenian,Slovenian,253,Slovenian [slov1268][slv]-l-
Slov.,"slov.,slov..,sloven",Slovenian,Slovene,253,Slovenian [slov1268][slv]-l-
Slov.dial.,sloven. dial.,Slovenian,Slovene,253,Slovenian [slov1268][slv]-l-
Buddh.,buddh.,Buddhist Middle Iranian,Sogdian,2418,Sogdian [sogd1245][sog]-l-
Sogd.,sogd.,Sogdian,Sogdian,2418,Sogdian [sogd1245][sog]-l-
Sogdh.,"sogdh.,soghd.",Sogdian,Sogdian,2418,Sogdian [sogd1245][sog]-l-
Cimm.,kimmer.,Cimmerian,,2399,Sogdic-Ossetic [sogd1247]
Sarmat.,sarmat.,Sarmatian,,2399,Sogdic-Ossetic [sogd1247]
Scyth.,skyth.,Scythian,,2399,Sogdic-Ossetic [sogd1247]
Scyth.gr.,gräcisierter skyth.,Scythian (Greek),,2399,Sogdic-Ossetic [sogd1247]
Styr.,steir.,Styrian German,Austrian_German,601,South Bavarian [sout2632]
Ep.," ep.,ep.,episch,gr. ep.","epic,Epic Greek",Ancient_Greek,1033,South Greek [east2798]
Ep.poet.,gr. ep. poet.,Epic Greek (poetic),Ionic_Greek,1033,South Greek [east2798]
Hom.,", hom.,gr. hom.,hom.",Homeric Greek,Ancient_Greek,1033,South Greek [east2798]
SPic.,"piken.,südpik.,südpiken.",South Picene,South_Picene,3127,South Picene [sout2618][spx]
Span.,span.,Spanish,Spanish,3006,Spanish [stan1288][spa]-l-
Span.port.,span.-portug.,Spanish-Portuguese,"Spanish, Portuguese",3006,Spanish [stan1288][spa]-l-
Swab.,schwäb.,Swabian,Swabian,569,Swabian [swab1242][swg]-l-
Mod.Swed.,nschwed.,Swedish,Swedish,414,Swedish [swed1254][swe]-l-
Mod.Swed.dial.,nschwed. dial.,Swedish (dialectal),Swedish,414,Swedish [swed1254][swe]-l-
Schwed.,schwed.,Swedish,Swedish,414,Swedish [swed1254][swe]-l-
Swed.,"nschw.,schw.,schwed,swed.","Modern Swedish,Swedish",Swedish,414,Swedish [swed1254][swe]-l-
Swed.dial.,"nschw.,schw. dial.,schwed dial.,schwed. dial.,schwed. mdartl.,schwed. mundartl.,schwed.mdartl.,swed. dial.,schwed. mdart.","Modern Swedish (dialectal),Swedish (dialectal)","Swedish,Swedish, Norwegian",414,Swedish [swed1254][swe]-l-
Thrac.,thrak.,Thracian,Thracian,3148,Thracian [thra1250][txh]-l-
TAB,"AB,AB.,AВ,toch. A?.,toch. AB.,toch.A, toch.B,АB,АВ,toch.AB",Tocharian AB,"Tocharian_A, Tocharian_B",3142,Tokharian [tokh1241]
Toch.,"toch,toch.,toch. ?.",Tocharian,"Tocharian,Tocharian_A, Tocharian_B",3142,Tokharian [tokh1241]
TA," A.,A,A, toch.,A.,toch. A.,А,toch.A",Tocharian A,Tocharian_A,3143,Tokharian A [tokh1242][xto]-l-
TB," B.,B,B.,toch. B.,В,toch.B",Tocharian B,Tocharian_B,3144,Tokharian B [tokh1243][txb]-l-
Gaul.,"gall,gall.",Gaulish,Gaulish,307,Transalpine Gaulish [tran1282][xtg]-l-
Gaul.dial.,gall. dial.,Gaulish (dialectal),Gaulish,307,Transalpine Gaulish [tran1282][xtg]-l-
Trans.land.,siebenbürg.,Transylvanian Landler German,,598,Transylvanian Landler [land1263]
Bret.treg.,"bret. trégor.,trégor.",Breton (Trégor dialect),,328,Tregorrois [treg1244]
Ital.trent.,ital.-trent.,Italian (Trentino dialect),,2793,Trentine [tret1239]
Tirol.,tirol.,Tirolean German,,604,Tyrol Bavarian [tyro1234]
Ukr.,"klr.,klruss.,ukr.",Ukrainian,Ukrainian,173,Ukrainian [ukra1253][ukr]-l-
Ukr.dial.,klr. dial.,Ukrainian (dialectal),Ukrainian,173,Ukrainian [ukra1253][ukr]-l-
OUmb.,altumbr.,Old Umbrian,Umbrian,3134,Umbrian [umbr1253][xum]-l-
Umb.,"neuumbr.,umb.,umbr.",Umbrian,Umbrian,3134,Umbrian [umbr1253][xum]-l-
UGer.,obd.,Upper German,New_High_German,562,Upper German [high1286]
Mod.Sorb.,nsorb.,Sorbian,"Upper_Sorbian, Lower_Sorbian",292,Upper Sorbian [uppe1395][hsb]-l-
Sorb.,sorb.,Sorbian,"Upper_Sorbian, Lower_Sorbian",292,Upper Sorbian [uppe1395][hsb]-l-
USorb.,obersorb.,Upper Sorbian,Upper_Sorbian,292,Upper Sorbian [uppe1395][hsb]-l-
Vand.,"vandal.,wand.",Vandalic,,357,Vandal [vand1245]
LVed.,spätved.,Vedic (late),Vedic_Sanskrit,2070,Vedic Sanskrit [vedi1234]
