lang,lex_ref_link_id,reflex,reflex_normalized
ON,21524,ǫkkla,ǫkkla
ON,21638,unningi,unningi
ON,21639,undingi,undingi
ON,21670,en(n),en(n)
ON,21834,aur-,aur
ON,21885,au-virđi,auvirđi
ON,22003,ein-arđr,einarđr
ON,22004,einǫrd,einǫrd
ON,22015,jǫrmuni,jǫrmuni
ON,22055,hundrađ,hundrađ
ON,22059,tī-rø̄đr,tīrø̄đr
ON,22067,rǫđ,rǫđ
ON,22090,rø̄đa,rø̄đa
ON,22096,rāđa,rāđa
ON,22100,rād,rād
ON,22126,g-reiđr,greiđr
ON,22127,greiđa,greiđa
ON,22222,arđr,arđr
ON,22539,ōđal,ōđal
ON,22615,auđr,auđr
ON,22742,auđinn,auđinn
ON,22743,auđna,auđna
ON,22744,auđr,auđr
ON,22752,vāđ,vāđ
ON,22753,vāđir,vāđir
ON,22757,vađr,vađr
ON,22852,auđmjūkr,auđmjūkr
ON,22853,auđkendr,auđkendr
ON,23037,Aura,Aura
ON,23085,veđr,veđr
ON,23454,"(huann-) jōli ","(huann) jōli "
ON,23861,bȳfa,bȳfa
ON,23901,beyla,beyla
ON,23946,bođi,bođi
ON,24050,pyss,pyss
ON,24697,beđr,beđr
ON,24777,bǫngull,bǫngull
ON,25882,brādo,brādo
ON,28157,tǣpr,tǣpr
ON,28175,tifask,tifask
ON,28786,tēa,tēa
ON,28787,tiā,tiā
ON,28790,tīgenn,tīgenn
ON,28914,"tāgar ","tāgar "
ON,29038,hundari,hundari
ON,29058,tola,tola
ON,29093,tjaldari,tjaldari
ON,29154,tiald,tiald
ON,29199,talgo-knīfr,talgoknīfr
ON,29200,tjalga,tjalga
ON,29223,tolgr,tolgr
ON,29625,tramr,tramr
ON,29758,"tjarn ","tjarn "
ON,29763,torð-,torð
ON,29988,"trefja ","trefja "
ON,30228,"tyrr ","tyrr "
ON,30270,treyju-sǫðull,treyjusǫðull
ON,30271,trȳju-sǫðoll,trȳjusǫðoll
ON,30386,gǫtvar,gǫtvar
ON,30412,tø̄ja,tø̄ja
ON,30504,teygia,teygia
ON,30595,tīk,tīk
ON,30835,"treginn ","treginn "
ON,30945,it,it
ON,30967,tueir,tueir
ON,30968,"tuǣr ","tuǣr "
ON,30969,"tuau ","tuau "
ON,31010,tuī-faldr,tuīfaldr
ON,31011,tuēfaldr,tuēfaldr
ON,31039,tysuar,tysuar
ON,31040,tuisuar,tuisuar
ON,31105,tueggia,tueggia
ON,31136,"tvenner ","tvenner "
ON,31206,an(d)dø̄fa,an(d)dø̄fa
ON,31278,dylla,dylla
ON,31556,dǣsa(sk),dǣsa(sk)
ON,31557,dasask,dasask
ON,31569,dammr,dammr
