lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss,sense_id,h_number,parent_h_number,lemma_normalized,lemma_translit
1272,OCS,лютъ,\N,main,лютъ,\N,adj.,\N,Inherited from Proto-Slavic *ľutъ.,"<div class=""oldchurchslavonic bodytext"">fierce, severe</div>","fierce, severe","fierce, severe",\N,\N,\N,лютъ,ljutŭ
1272,OCS,лютъ,2,sense,лютъ,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">wicked</div>",wicked,wicked,569,n1272.0,\N,лютъ,\N
1272,OCS,лютъ,3,sense,лютъ,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">angry</div>",angry,angry,570,n1272.1,\N,лютъ,\N
1272,OCS,лютъ,4,sense,лютъ,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">terrible, wild</div>","terrible, wild","terrible, wild",571,n1272.2,\N,лютъ,\N
1273,OCS,лютость,\N,main,лютость,\N,n.,\N,From лютъ (ljutŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">severity</div>",severity,severity,\N,\N,\N,лютость,ljutostĭ
1274,OCS,лѣнъ,\N,main,лѣнъ,\N,adj.,\N,From Proto-Slavic *lěnъ.,"<div class=""oldchurchslavonic bodytext"">lazy</div>",lazy,lazy,\N,\N,\N,лѣнъ,lěnŭ
1275,OCS,лѣность,\N,main,лѣность,\N,n.,\N,"Inherited from Proto-Slavic *lěnostь. By surface analysis, лѣнъ (lěnŭ) + ость (ostĭ).","<div class=""oldchurchslavonic bodytext"">laziness</div>",laziness,laziness,\N,\N,\N,лѣность,lěnostĭ
1276,OCS,кротость,\N,main,кротость,\N,n.,\N,From Proto-Slavic *krotostь.,"<div class=""oldchurchslavonic bodytext"">meekness</div>",meekness,meekness,\N,\N,\N,кротость,krotostĭ
1277,OCS,крѣпость,\N,main,крѣпость,\N,n.,\N,"From крѣпъ (krěpŭ) + -ость (-ostĭ), from Proto-Slavic *krěpostь.","<div class=""oldchurchslavonic bodytext"">strength</div>",strength,strength,\N,\N,\N,крѣпость,krěpostĭ
1278,OCS,юность,\N,main,юность,\N,n.,\N,"Inherited from Proto-Slavic *junostь. By surface analysis, юнъ (junŭ) + ость (ostĭ).","<div class=""oldchurchslavonic bodytext"">youth, young age</div>","youth, young age","youth, young age",\N,\N,\N,юность,junostĭ
1279,OCS,инокость,\N,main,инокость,\N,n.,\N,From инокъ (inokŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">pilgrimage</div>",pilgrimage,pilgrimage,\N,\N,\N,инокость,inokostĭ
1280,OCS,гръдость,\N,main,гръдость,\N,n.,\N,From гръдъ (grŭdŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">pride</div>",pride,pride,\N,\N,\N,гръдость,grŭdostĭ
1281,OCS,горѥсть,\N,main,горѥсть,\N,n.,\N,Inherited from Proto-Slavic *gořestь. Equivalent to горькъ (gorĭkŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">bitterness</div>",bitterness,bitterness,\N,\N,\N,горѥсть,gorjestĭ
1282,OCS,дрьзость,\N,main,дрьзость,\N,n.,\N,From дрьзъ (drĭzŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">courage</div>",courage,courage,\N,\N,\N,дрьзость,drĭzostĭ
1282,OCS,дрьзость,2,sense,дрьзость,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">impudence</div>",impudence,impudence,572,n1282.0,\N,дрьзость,\N
1283,OCS,чистость,\N,main,чистость,\N,n.,\N,From Proto-Slavic *čistostь. Morphologically from чистъ (čistŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">purity</div>",purity,purity,\N,\N,\N,чистость,čistostĭ
1284,OCS,-ость,\N,main,-ость,\N,suffix,\N,"From Proto-Slavic *-ostь. Some authors claim that the suffix -ость (-ostĭ) is merged from double suffixation *-ot-tь, but there much evidence that the suffix *-ostь already existed in Late Proto-Slavic. Also, compare Old Armenian -ստ (-st).","<div class=""oldchurchslavonic bodytext"">-ness, -ity; deadjectival nominalizing suffix used to create an i-stem feminine noun, usually an abstract noun denoting a quality.</div>","-ness, -ity; deadjectival nominalizing suffix used to create an i-stem feminine noun, usually an abstract noun denoting a quality.","-ness, -ity; deadjectival nominalizing suffix used to create an i-stem feminine noun, usually an abstract noun denoting a quality.",\N,\N,\N,-ость,-ostĭ
1285,OCS,мрьтвость,\N,main,мрьтвость,\N,n.,\N,From мрътвъ (mrŭtvŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">dying</div>",dying,dying,\N,\N,\N,мрьтвость,mrĭtvostĭ
1286,OCS,нѣмость,\N,main,нѣмость,\N,n.,\N,From нѣмъ (němŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">muteness</div>",muteness,muteness,\N,\N,\N,нѣмость,němostĭ
1287,OCS,нѣмъ,\N,main,нѣмъ,\N,adj.,\N,From Proto-Slavic *němъ.,"<div class=""oldchurchslavonic bodytext"">mute</div>",mute,mute,\N,\N,\N,нѣмъ,němŭ
