"11801","bïad","food, meal","122","biad","third-person singular conditional of at·tá","third-person singular conditional of at·tá"
"11801","bïad","food, meal","2666","bíad","food","food"
"11801","bïad","food, meal","2667","bíad","alternative form of ·bïad","alternative form of ·bïad"
"11802","bïid","food, meal","3820","bíid","inflection of at·tá:","inflection of at·tá:; third-person singular habitual present"
"11802","bïid","food, meal","3821","biid","alternative spelling of bíid","alternative spelling of bíid"
"11859","bó","cow, cattle","859","bó","ox, cow","ox, cow"
"11863","bú",\N,"679","bú","vocative/accusative plural of bó","vocative/accusative plural of bó"
"11865","Boand","FlN","2194","Boand","the Boyne (a river in Leinster, Ireland)","the Boyne (a river in Leinster, Ireland)"
"12002","om","raw, uncooked, bloody; raw, bloody meat (subst. m.)","60","om","raw","raw"
"12012","umae","copper, bronze","4510","umae","copper","copper"
"12033","odb","knot, outgrowth, swelling, bump","2009","odb","knot (in a tree, branch, etc.)","knot (in a tree, branch, etc.)"
"12137","dét","tooth","2624","dét","tooth","tooth"
"12137","dét","tooth","2625","dét","passive singular preterite conjunct of daimid","passive singular preterite conjunct of daimid"
"12364","ethar","ferry boat","6145","ethar","boat","boat"
"12402","ech","horse","1573","ech","horse","horse"
"12547","su-","good","3661","su-","alternative form of so- (“good, easy”)","alternative form of so- (“good, easy”)"
"12548","so-","good","1294","so-","good, excellent","good, excellent"
"12600","léimm","jumping","1605","léimm","verbal noun of lingid","verbal noun of lingid"
"12624","lus","vegetables, herbs, plants","713","lus","plant, herb, vegetable","plant, herb, vegetable"
"12735","fíu","worthy, deserving; worth, equivalent value (subst.)","284","fiú","alternative spelling of fíu","alternative spelling of fíu"
"12735","fíu","worthy, deserving; worth, equivalent value (subst.)","778","fiu","alternative spelling of fíu","alternative spelling of fíu"
"12735","fíu","worthy, deserving; worth, equivalent value (subst.)","1245","fíu","worthy, fitting","worthy, fitting"
"12742","feib","goodness, quality, wealth","6090","feib","inflection of feb:","inflection of feb:; accusative/dative singular"
"12742","feib","goodness, quality, wealth","6091","feib","as, just as","as, just as"
"12743","feib","according to, like","6090","feib","inflection of feb:","inflection of feb:; accusative/dative singular"
"12743","feib","according to, like","6091","feib","as, just as","as, just as"
"12761","fó","good","237","fo","under, beneath","under, beneath"
"12835","ubull","apple","1643","ubull","apple","apple"
"12914","lïaig","physician","3185","líaig","doctor, physician","doctor, physician"
"12932","ág","fight","64","ag","bullock, cow, ox","bullock, cow, ox"
"12932","ág","fight","840","ág","fight, battle, contest","fight, battle, contest"
"12954","án","driving, game","38","an","alternative form of a","alternative form of a"
"12954","án","driving, game","39","an","third-person singular preterite conjunct of anaid","third-person singular preterite conjunct of anaid"
"12954","án","driving, game","40","an","second-person singular imperative of anaid","second-person singular imperative of anaid"
"12954","án","driving, game","617","án","verbal noun of aigid","verbal noun of aigid"
"12955","tán","driving away","57","tan","time","(point in) time"
"12973","ár","battle, slaughter","179","ar","for, for the sake of, because of","for, for the sake of, because of"
"12973","ár","battle, slaughter","180","ar","alternative spelling of air (“for, since”)","alternative spelling of air (“for, since”)"
"12973","ár","battle, slaughter","181","ar","our","our"
"12973","ár","battle, slaughter","182","ar","verbal noun of airid: ploughing, tilling","verbal noun of airid: ploughing, tilling"
"12973","ár","battle, slaughter","618","ár","slaughter, carnage","slaughter, carnage"
"13100","óa","younger","1235","óa","liver","liver"
"13100","óa","younger","1236","óa","comparative degree of óc (“young”)","comparative degree of óc (“young”)"
"13100","óa","younger","2137","oa","from his/her/its/their","from his/her/its/their"
"13100","óa","younger","2138","oa","from which","from which"
