lemma_id,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
63,ir,3,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">(interrogative) and, so</div>","(interrogative) and, so","and, so"
64,du,\N,main,dù,[d̪ʊ],num,\N,"From Proto-Baltic *d(u)u̯ō, from Proto-Indo-European *dwóh₁. Compare Latvian divi. Cognate to Latin duo.","<div class=""lithuanian bodytext"">two (2)</div>",two (2),two (2)
65,lig,\N,main,li̇̀g,/lʲɪɡ/,prep.,\N,"Derived from lýgus (“flat, even, equal”); the shortening of the long *ī sound (the y in lýgus) is perhaps due to influence from the synonymous iki̇̀. Cognate with Latvian lidz (“like; till; as soon as, until”).","<div class=""lithuanian bodytext"">(with genitive) to, till, until</div>","(with genitive) to, till, until","to, till, until"
66,u,\N,main,U,/ʊ/,n.,\N,\N,"<div class=""lithuanian bodytext"">The twenty-seventh letter of the Lithuanian alphabet, called u trumpoji and written in the Latin script.</div>","The twenty-seventh letter of the Lithuanian alphabet, called u trumpoji and written in the Latin script.","The twenty-seventh letter of the Lithuanian alphabet, called u trumpoji and written in the Latin script."
67,ano,\N,main,anõ,[ɐˈn̪ǒː],pron.,\N,\N,"<div class=""lithuanian bodytext"">genitive masculine singular of anas</div>",genitive masculine singular of anas,genitive masculine singular of anas
68,pl.,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">abbreviation of plentas</div>",abbreviation of plentas,abbreviation of plentas
69,menu,\N,main,menù,[mʲɛˈn̪ʊ],n.,\N,\N,"<div class=""lithuanian bodytext"">instrumental singular of menas</div>",instrumental singular of menas,instrumental singular of menas
70,menu,\N,main,menù,[mʲɛˈn̪ʊ],v.,\N,\N,"<div class=""lithuanian bodytext"">first-person singular present of miñti</div>",first-person singular present of miñti,first-person singular present of miñti
71,sofa,\N,main,sofà,\N,n.,f.,"Borrowed from French sofa or Italian sofà, ultimately from Arabic صُفَّة (ṣuffa, “a long seat made of stone or brick”). Compare Russian софа́ (sofá).","<div class=""lithuanian bodytext"">sofa, couch</div>","sofa, couch","sofa, couch"
72,Laura,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">a female given name</div>",a female given name,a female given name
73,lies,\N,main,liẽs,[lʲiɛs],v.,\N,\N,"<div class=""lithuanian bodytext"">third-person singular/plural future of liesti</div>",third-person singular/plural future of liesti,third-person singular/plural future of liesti
74,aa,\N,main,aà,[ɐ.ˈɐ],interj.,\N,"Compare Russian ага (aga), and English uh-huh.","<div class=""lithuanian bodytext"">yeah, uh-huh (expression of agreement)</div>","yeah, uh-huh (expression of agreement)","yeah, uh-huh (expression of agreement)"
75,link,\N,main,li̇̃nk,/lʲɪ̌ˑŋk/,prep.,\N,"From a clipping of liñki, liñkui, or liñkuo, ultimately from the same root as liñkti (“to tend”), linkė́ti (“to wish”).","<div class=""lithuanian bodytext"">toward [with genitive]</div>",toward [with genitive],toward
76,link,\N,main,liñk,/lʲɪ̌ˑŋk/,v.,\N,"From a clipping of liñki, liñkui, or liñkuo, ultimately from the same root as liñkti (“to tend”), linkė́ti (“to wish”).","<div class=""lithuanian bodytext"">second-person singular imperative of liñkti</div>",second-person singular imperative of liñkti,second-person singular imperative of liñkti
