lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
58845,janārṇava (जनार्णव),25731,"‘id.’, a caravan, MBh.","rRava   m. ‘man-ocean’, a caravan, Nal. xiii, 16."
59040,janya (जन्य),25835,"ifc. born or arising or produced from, occasioned by, Śiś.; Bhāṣāp.; Tarkas. &amp;c. (-tā (-ता) f. abstr. Vedāntas.; -tva (-त्व) n. id., KapS., Sch.)","1. janya (जन्य)   mfn. (√ jan (जन्), Pāṇ. iii, 4, 68; iii, 1, 97; Pat.) born, produced, Bhāṣāp. 44; BrahmaP."
59223,jayaparājaya (जयपराजय),25970,"jaya—parājaya (जय—पराजय)   n. sg. id., Pañcat.; Dhūrtas. ii, 8/9.","du. = °yā (°या)jaya, Yājñ. ii, 6, Sch."
59277,jayājaya (जयाजय),26000,"jayā (जया)jaya   n. sg. id., VarYogay. vi, 29.","jaya   m. du. victory and defeat, Bhag. ii, 38"
59378,jarāmṛtyu (जरामृत्यु),26085,du. id. g. kārta-kaujapā (कार्त-कौजपा)di.,"(°rā- (°रा-)), mfn. dying from age, AV. ii, xix"
61036,jugupsita (जुगुप्सित),26865,"(also karma- (कर्म-) id., i, 7, 42)","abhorring anything (abl.), Vop. v, 21"
61791,jhara (झर),27202,"jhara (झर)   f(ā (आ), ī (ई)).  id., Prab. iv, 12","a water-fall, L."
62398,tatas (ततस्),27474,"ta°táḥ paścāt (त°तः पश्चात्) id., Mn. iii, 116 f.; MBh. &amp;c.","thereupon, afterwards, Mn. iii, 116 f.; MBh. &amp;c."
62549,tathā (तथा),27551,"tathā (तथा)pi tu id., Śak.","(ta-thā (त-था), correlative of ya-thā (य-था), Pāṇ. v, 3, 26; g. cā (चा)di, Kāś. &amp; Gaṇar.) in that manner, so, thus (the correlative standing in the preceding or in the subsequent clause, e.g. yathā priyaṃ (यथा प्रियं), tathā (तथा)stu, ‘as is agreeable, so let it be’; tathā p"
62549,tathā (तथा),27555,"atho tathā (अथो तथा) id., ib.","(ta-thā (त-था), correlative of ya-thā (य-था), Pāṇ. v, 3, 26; g. cā (चा)di, Kāś. &amp; Gaṇar.) in that manner, so, thus (the correlative standing in the preceding or in the subsequent clause, e.g. yathā priyaṃ (यथा प्रियं), tathā (तथा)stu, ‘as is agreeable, so let it be’; tathā p"
63308,taraṇḍa (तरण्ड),27993,"taraṇḍa (तरण्ड)   f(ā (आ), ī (ई)).  id., L.","N. of a place, L."
63843,tānūnaptrin (तानूनप्त्रिन्),28260,"sa- (स-) id., MaitrS. iii, 7, 10; AitBr. i, 24; ŚBr. iii, 4, 2, 9; KātyŚr. viii, 1, 26.","a coadjutor in the thānūnaptra (थ्āन्ūनप्त्र) ceremony, ĀpŚr. xi"
64859,tilaka (तिलक),28775,"tilaka (तिलक)   n. id., L.","(g. sthūlā (स्थूला)di) Clerodendrum phlomoides (Symplocos racemosa, L.), MBh. &amp;c."
65619,tūṇi (तूणि),29132,"tūṇi (तूणि)   f. id., R. (B) iii, 8, 19"," = °ṇa (°ण), R. ii, 31, 30"
66624,triguṇa (त्रिगुण),29543,"tri—guṇa (त्रि—गुण)   m. pl. id., Tattvas.","sg. the 3 ghuṇa (घुṇअ)s (sattva (सत्त्व), rajas (रजस्), and tamas (तमस्)), BhP. iv"
67158,triśiras (त्रिशिरस्),29768,"tri—śiras (त्रि—शिरस्)   n. (with rakṣas (रक्षस्)) id., R. i, 1, 45","three-headed (thvāṣṭra (थ्व्āṣṭर), author of RV. x, 8.), TāṇḍyaBr. xvii; Bṛh.; KauṣUp.; MBh.; Kām."
68215,daṇḍahasta (दण्डहस्त),30178,"daṇḍa—hasta (दण्ड—हस्त)   f(ā (आ), ī (ई)).  (ā (आ), L.; ī (ई), Bhpr. v, 2, 29) id.","staff-handed, MBh. vi, 4959 (ñama (ञम))"
72817,devakhāta (देवखात),31896,"deva—khāta (देव—खात)   n. a cave or cavern, W. (-ka (-क) n. id., L.)","‘dug by the g°’, hollow by nature"
73389,devaka (देवक),32105,"divine, celestial id.","mf(ikā (इका))n. who or what sports or plays, W."
76234,dharā (धरा),33012,one of the 8 forms of śarasvatī (शरस्वत्ī) id.,"‘bearer, supporter’, the earth, Mn.; MBh.; Kāv. &amp;c."
82705,nikaṭa (निकट),35369,"ni-kaṭa (नि-कट)   m. or n. nearness, proximity (°ṭam (°टम्) ind. near to, towards, with gen. or comp.; °ṭe (°टे), ind. id., near, at hand; °ṭāt (°टात्) ind., away from), R.; Pañc.; Kathās. &amp;c.","mf(ā (आ))n., being at the side, near"
