global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
37005,5,7152,n37005,ἐξαῦτις,Adv.,,587,,"[""once more, anew, Il. 1.223 , etc., Archil. 6 , PLips. 27.25 (ii A.D.)."",""of place,back again, backwards, Il. 16.654 , A.R. 3.482 ."",""= ἔπειτα , Rhian. 25 .""]","[""once more, anew,"",""back again, backwards,""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ἔπειτα""},{""type"":"""",""target"":"""",""text"":""= ἔπειτα""}]",1,1,0,0,1,3,2,0,0
37006,5,7153,n37006,ἐξαυτομολέω,,,587,,"[""desert from a place, πρός τινα Ar. Nu. 1104 ."",""Pass. ,to be betrayed by deserters, τὸ σύνθημα Aen.Tact. 24.16 .""]","[""desert from"",""to be betrayed by deserters,""]",[],"[{""biblio"":"""",""quote"":""πρός τινα""},{""biblio"":""Ar. | Nu. | 1104"",""quote"":""πρός τινα Ar. Nu. 1104""},{""biblio"":"""",""quote"":""τὸ σύνθημα""},{""biblio"":""Aen.Tact. | 24.16"",""quote"":""τὸ σύνθημα Aen.Tact. 24.16""}]","[""Aen.Tact. | 24.16"",""Ar. | Nu. | 1104""]",{},[],1,1,0,1,0,2,2,0,4
37007,5,7154,n37007,ἐξαυχενισμός,,ὁ,587,,"[""rebellion, Aq. Na. 3.1 .""]","[""rebellion,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37008,5,7155,n37008,ἐξαυχέω,,,587,,"[""boast loudly, profess,c.part., ἐξηύχει λαβών A. Ag. 872 codd.: c.inf. fut., S. Ant. 390 ; c.inf. pres., E. Supp. 504 : c. acc. rei, τοῦτ' ἂν ἐξηύχης' ἐγώ S. Ph. 869 .""]","[""boast loudly, profess,""]",[],"[{""biblio"":"""",""quote"":""ἐξηύχει λαβών""},{""biblio"":""A. | Ag. | 872"",""quote"":""ἐξηύχει λαβών A. Ag. 872""},{""biblio"":"""",""quote"":""τοῦτ' ἂν ἐξηύχης' ἐγώ""},{""biblio"":""S. | Ph. | 869"",""quote"":""τοῦτ' ἂν ἐξηύχης' ἐγώ S. Ph. 869""}]","[""A. | Ag. | 872"",""S. | Ph. | 869""]",{},[],1,1,0,1,0,1,1,0,4
37009,5,7156,n37009,ἐξαυχμέω,,,587,,"[""suffer from drought, ὅταν -ῶσι Thphr. CP 5.9.8 ."",""ἐξαυχμόω, in Pass. ,to be dried up, ἐξαυχμοῦται D.L. 7.141 .""]","[""suffer from drought,"",""to be dried up,""]",[],"[{""biblio"":"""",""quote"":""ὅταν -ῶσι""},{""biblio"":""Thphr. | CP | 5.9.8"",""quote"":""ὅταν -ῶσι Thphr. CP 5.9.8""},{""biblio"":"""",""quote"":""ἐξαυχμοῦται""},{""biblio"":""D.L. | 7.141"",""quote"":""ἐξαυχμοῦται D.L. 7.141""}]","[""D.L. | 7.141"",""Thphr. | CP | 5.9.8""]",{},[],1,1,0,1,0,2,2,0,4
37010,5,7157,n37010,ἐξαύω,,,587,,"[""take out,esp.dressed meat(cf.ἐξαυστήρ) , τὸν ἐγκέφαλον . . ἐξαύσας καταπίνει Pl.Com. 38 , cf. Hsch. ἐξαῦσαι: ἐξελεῖν.""]","[""take out,"",""dressed meat""]",[],"[{""biblio"":"""",""quote"":"", τὸν ἐγκέφαλον . . ἐξαύσας καταπίνει""},{""biblio"":""Pl.Com. | 38"",""quote"":"", τὸν ἐγκέφαλον . . ἐξαύσας καταπίνει Pl.Com. 38""}]","[""Pl.Com. | 38""]",{},[],1,1,0,1,0,1,2,0,2
37011,5,7158,n37011,ἐξαύω,,,587,,"[""heat, aor. 1 Med. , ἐξαύσατο βαυνόν Eratosth. 24 .""]","[""heat,""]",[],"[{""biblio"":"""",""quote"":""ἐξαύσατο βαυνόν""},{""biblio"":""Eratosth. | 24"",""quote"":""ἐξαύσατο βαυνόν Eratosth. 24""}]","[""Eratosth. | 24""]",{},[],1,1,0,1,0,1,1,0,2
37012,5,7159,n37012,ἐξαύω,,,587,,"[""cry out, ἐκ δ' ἤῡς' ἐγώ S. Tr. 565 .""]","[""cry out,""]",[],"[{""biblio"":"""",""quote"":""ἐκ δ' ἤῡς' ἐγώ""},{""biblio"":""S. | Tr. | 565"",""quote"":""ἐκ δ' ἤῡς' ἐγώ S. Tr. 565""}]","[""S. | Tr. | 565""]",{},[],1,1,0,1,0,1,1,0,2
37013,5,7160,n37013,ἐξαφάζων:,,,587,,"[""ἐξαφάζων: ἐξ ἑαυτοῦ γιγνόμενος, καὶ περιβλέπων, Hsch.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
37014,5,7161,n37014,ἐξαφαιρέω,,,587,,"[""take away:— Med. , εἰσόκε πασέων ψυχὰς ἐξαφέλησθε Od. 22.444 , cf. S. El. 1157 ; ἐ. φρενῶν τὸν νοῦν τὸν ἐσθλόν Trag.Adesp. 296 ;f.l. in D. 8.42 .""]","[""take away""]",[],"[{""biblio"":"""",""quote"":""εἰσόκε πασέων ψυχὰς ἐξαφέλησθε""},{""biblio"":""Od. | 22.444"",""quote"":""εἰσόκε πασέων ψυχὰς ἐξαφέλησθε Od. 22.444""},{""biblio"":"""",""quote"":""ἐ. φρενῶν τὸν νοῦν τὸν ἐσθλόν""},{""biblio"":""Trag.Adesp. | 296"",""quote"":""ἐ. φρενῶν τὸν νοῦν τὸν ἐσθλόν Trag.Adesp. 296""}]","[""Od. | 22.444"",""Trag.Adesp. | 296""]",{},[],1,1,0,1,0,1,1,0,4
