lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
848,OIr.,feis,1,main,\N,/ˈɸʲesʲ/,n.,\N,\N,"<div class=""oldirish bodytext"">inflection of fess:; accusative/dative singular</div>",inflection of fess:; accusative/dative singular,inflection of fess:
848,OIr.,feis,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">inflection of fess:; nominative/accusative/vocative dual</div>",inflection of fess:; nominative/accusative/vocative dual,inflection of fess:
848,OIr.,feis,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">alternative form of fess (original dative used as nominative, which is very common in verbal nouns)</div>","alternative form of fess (original dative used as nominative, which is very common in verbal nouns)","alternative form of fess (original dative used as nominative, which is very common in verbal nouns)"
849,OIr.,feis,2,main,\N,/ˈɸʲesʲ/,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular future absolute of fichid</div>",third-person singular future absolute of fichid,third-person singular future absolute of fichid
850,OIr.,ib,1,main,\N,\N,v.,\N,\N,"<div class=""oldirish bodytext"">second-person singular imperative of ibid</div>",second-person singular imperative of ibid,second-person singular imperative of ibid
851,OIr.,ib,2,main,·ib,\N,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular present indicative conjunct of ibid</div>",third-person singular present indicative conjunct of ibid,third-person singular present indicative conjunct of ibid
852,OIr.,guid,\N,main,·guid,/ˈɡuðʲ/,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular present indicative conjunct of guidid</div>",third-person singular present indicative conjunct of guidid,third-person singular present indicative conjunct of guidid
853,OIr.,ceto,\N,main,cetu,/ˈkʲe.d̪o/,v.,\N,"Univerbation of ce, cía (“although”); it (“they are”).","<div class=""oldirish bodytext"">although they are</div>",although they are,although they are
854,OIr.,Alban,\N,main,\N,\N,n.,\N,\N,"<div class=""oldirish bodytext"">genitive singular of Albu</div>",genitive singular of Albu,genitive singular of Albu
855,OIr.,gell,\N,main,\N,/ˈɡʲel̪/,n.,\N,"From Proto-Celtic *geldom (“pledge”), possibly from Proto-Indo-European *gʰeldʰ- (compare Proto-Germanic *geldaną (“to pay”)).","<div class=""oldirish bodytext"">pledge, surety</div>","pledge, surety","pledge, surety"
855,OIr.,gell,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">hostage</div>",hostage,hostage
855,OIr.,gell,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">stake, wager</div>","stake, wager","stake, wager"
856,OIr.,lige,1,main,\N,/ˈl̠ʲi.ɣʲe/,n.,\N,"From Proto-Celtic *legyom, from Proto-Indo-European *legʰ- (“to lie (down)”).","<div class=""oldirish bodytext"">verbal noun of laigid</div>",verbal noun of laigid,verbal noun of laigid
856,OIr.,lige,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">lying down, reclining, sleeping</div>","lying down, reclining, sleeping","lying down, reclining, sleeping"
856,OIr.,lige,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">bed, couch</div>","bed, couch","bed, couch"
