lex_ref_link_id,match_str
19996,aestumō
20017,aeruscāre
20092,aeuus
20141,acēre
20199,aquifolium
20264,acerabulus
20307,Interocrea
20424,ollī
20425,ollīc
20427,olitana
20428,olitinata
20497,allers
20515,alterāre
20518,altercāri
20738,albarus
20775,Albia
20886,ālus
20994,amma
21405,ancrae
21426,Anglii
21515,anses
21553,antidīre
21642,coēpi
21649,apur
21948,allers
22269,argīla
22412,sollennis
23091,uentilāre
23142,ēuēlātus
23162,uatillum
23255,auxilis
23289,auca
23348,Ostrogothae
23349,Austrogoti
23389,aulla
23492,babaecalus
23494,babit
23495,babiger
23532,bambalō
23553,fascināre
23590,ballāre
23717,bēbō
23718,bālāre
23719,bēlāre
23797,boāre
24311,Fabidius
24312,Fabāria
24321,Baunonia
24388,Bōcōnia
24437,broccus
24577,battō
24689,fodicāre
24946,uidubium
25008,blatea
25110,ballaena
25383,fulgus
25527,Ζεὺς
26081,fibrī
26183,friguttiō
26184,fringuliō
26187,fringuilla
26284,forctus
26285,horctus
26286,horctis
26402,frontēsia
26687,fuī
26688,fūī
26690,forem
26693,bam
26695,bō
26696,futāuit
27205,blundus
27496,barmbraccus
27593,suffrāginēs
27668,brīsāre
28299,dacruma
28425,manedum
28428,dumnē
28590,Iuppiter
28593,Iouis
28599,Iūlius
28790,dīcere
28791,dīcāre
28799,indīcāre
28999,trIcontis
29009,Decumius
29365,domī
29419,domās
29908,drauoca
29926,derbita
30235,δρυναίμετον
30289,trustis
30391,duenos
30493,dūrāre
30512,doucō
30525,ēducāre
31026,dui
31027,bi
31265,effāfilātus
31362,ditus
31391,condidī
31766,fēlō
31791,fēta
31792,effēta
31857,fīuō
32165,danea
32250,fracēre
32684,infestāre
32709,fēsiae
32798,fūmāre
32900,dūnum
33372,dosinus
33723,forēs
33834,eh
33837,ēdī
33888,emem
34237,ēdī
34339,edulus
34379,ebulus
34426,aiiō
34427,Aius
34573,heu
34581,eh
34604,iēns
34607,ĭī
34701,uītāre
34704,oitile
34936,eira
35177,hinuleus
35498,ēmī
35667,enter
35669,interuias
35674,interus
36074,tūne
36142,onerāre
36187,Eprius
36235,op
36561,irrītāre
36562,prorītāre
36943,triresmom
36944,septeresmom
37072,ess
37167,siēs
37168,siet
37178,estōd
37246,esa
37299,aser
37300,assyr
37301,assarātum
38132,galbeus
38133,Zypressenzapfen
38148,glēbō
38217,glomerāre
38352,glittūs
38518,glūttō
38519,gelū
38520,gelus
38614,galērus
39018,germināre
39198,ignārurēs
39199,nārrāre
40020,gerra
40098,guttura
40415,dēgūnō
40775,grundiō
40927,gabulum
40942,hēdus
40943,faedus
40967,haesitāre
41538,hippitāre
41539,exippitāre
41983,helusa
42523,praehendō
43006,fordeum
43092,fūtilis
43095,effūsī
43258,fauissae
43431,heus
44221,uigēre
44908,betulla
45712,hā
45717,hahahae
45859,Iegius
46055,iotta
46095,iuuāre
46131,iugulae
46142,iouxmenta
46175,iūges
46258,iousī
46310,ious
46312,iouestōd
46314,NULL
46917,callus
46926,calliomarcus
46927,epocalium
46928,ebulcalium
46969,camurus
46970,camerus
47046,cicendula
47085,aucupāre
47091,capulāre
47105,captāre
47203,caprī
47226,bicaps
47387,carrō
47527,caudica
47609,cucubiō
47645,caulus
47935,cotes
47937,catanus
48320,conciliāre
49306,incēnsa
49331,percontārī
50008,carius
50182,cracentēs
50291,equirria
50631,cumbō
50846,cauellum
51159,clocca
51339,clingō
51388,clepta
51502,cluuior
51553,cluor
51624,clunāculum
51688,hīsce
51840,cacillāre
51860,cūcurriō
51861,cūcuru
52610,obscaenus
52611,inquināre
52612,conquināre
52614,ancunulentae
52914,quăsillus
52944,quomque
53101,tranquīlus
53423,Quorta
53652,quōr
53653,quirquir
53747,utei
53866,lāmentāri
53885,lallus
53886,Lalla
53887,Lallia
53889,Lollia
53988,laetāre
54167,labōrāre
54757,litāre
55035,ligurrio
55062,pollicērī
55950,laudāre
56111,luxāre
56284,loucom
56285,collūcāre
56286,interlūcāre
56291,Losna
56294,illūstrāre
56297,lūcŭbrāre
56526,adluuiēs
56933,mācerāre
56946,mahonus
57037,mattiuca
57396,moderāre
58041,micciō
58083,martellus
58484,prōmulgāre
58517,melca
58647,imminēre
58648,prōminēre
58759,mōnstrāre
58845,mantāre
58883,ēmendāre
58976,manganum
59008,sēmēnstris
59462,mercārī
59477,imbractum
60179,mutmut
60231,mussāre
60234,conmūgentō
60238,mūgilāre
60331,mutidus
60334,muttō
60335,Mutunus
60399,nāssus
60837,ēnectāre
61050,neriōsus
61190,nuō
61251,Nōdonti
61252,Nōdenti
61261,nuscitiōsus
61325,nouāre
61481,odefaciō
61655,ōcissimus
61955,Opscī
61976,opiōn
62357,prō̆pāgāre
62359,paca
62413,panceps
62523,pedāre
62604,peccāre
62608,expedīre
62610,tribřic̨u
62611,tribrisine
62657,pēminōsus
63113,plēmināre
63138,plēmināre
63171,plous
63173,pleores
63176,ploirume
63177,plouruma
63241,palpor
63252,pultāre
63308,pollenta
63727,Quinctius
63874,peruidēre
64312,comparāre
64336,imperāre
64516,polcher
64642,pernīs
64831,pesna
64833,propteruus
64882,putāre
64894,putāre
64899,depuuere
64902,amputāre
65083,pippitāre
65119,plōrāre
65126,plācāre
65243,Letauia
65441,perplouēre
65598,Plautios
65774,poste
65851,paullus
65881,pūssus
66078,prūrīre
66088,porrus
66168,puppa
66199,pussula
66361,rabiāre
66863,raccāre
66873,ragere
66990,corrigium
67295,rētāre
67799,rūmāre
67800,rūmināre
67986,praesaepēs
68142,nesapus
68254,sibī
68299,souos
68336,Samnītes
68408,suad
68429,sōc
68779,Sēmōnēs
69006,siat
69122,sacēna
69124,asignae
69127,asignas
69267,īnsece
69268,insectiōnēs
69410,saltāre
70170,sarpiō
71261,calcitrāre
71469,cappō
71470,cappulāre
71471,concipilāre
71478,hapia
71887,Pennocrucium
72236,crusina
72319,excarpo
72320,scarpinat
72395,scramis
72443,screa
72444,screāre
72519,scrautum
72552,būcerda
72699,scaturriō
72992,scutilus
73694,lurcor
74065,Natisōn
74150,nēmen
74421,prōnuba
74617,spīcārium
74796,σπιθάμη
74797,σπιθίαι
76009,praestināre
76010,dēstināre
76012,obstināre
76060,praestōlarī
76281,instaurāre
76282,restaurāre
76557,tēgula
76905,stlatta
77766,sterculīnum
77767,sterquilīnum
77887,tuditāre
77929,titubāre
78313,sīfilō
78314,sīfilus
78416,consīderāre
78417,dēsīderāre
78653,sulpur
78822,insipere
78887,surcellus
79132,contamināre
79179,tālia
79180,tāliāre
79347,texor
79504,tulam
79621,aestumō
79677,mālobathrum
79717,temperāre
79719,antemnā
79721,contemplāri
79722,temptō
79787,attinēre
79961,tōlēs
79964,prōtēlāre
80110,trībulāre
80363,intrāre
80364,extrābunt
80477,torquēs
80566,torrus
80606,tetrax
80713,tucca
80858,turgiō
81013,tesqua
81160,tongeō
81701,tutubāre
81887,truella
81889,amptruō
81988,formaticum
82007,trucīdāre
82134,uēnsīca
82153,ululāre
82223,uassus
82224,uassallus
82592,uāpulāre
82617,uatāx
82830,uēlāre
82874,uigilāre
82988,uehis
82995,ueia
83181,uitus
83299,inuītāre
83790,uēcus
83842,uībix
83993,uissiō
84232,uolupe
84278,uolgus
84775,Venethi
84965,uapiō
85059,uarulus
85309,branca
85394,uersiōn
85891,asseuērāre
85892,perseuērāre
86666,Vlpius
