id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss
8579,uarulus,85059,NULL,NULL,NULL
8590,uenire,2049,NULL,NULL,NULL
8591,uēnī,2053,NULL,NULL,NULL
8593,edim,2323,NULL,NULL,NULL
8594,est,2494,NULL,NULL,NULL
8602,cluere,3720,NULL,NULL,NULL
8604,currere,3958,NULL,NULL,NULL
8606,soluere,4836,NULL,NULL,NULL
8623,uult,8694,NULL,NULL,NULL
8625,uetuī,8926,NULL,NULL,NULL
8628,datū,9980,NULL,NULL,NULL
8633,condere,10693,NULL,NULL,NULL
8634,abdere,10694,NULL,NULL,NULL
8638,gnātā,11279,NULL,NULL,NULL
8641,bouem,11833,NULL,NULL,NULL
8648,sūcerdae,14810,NULL,NULL,NULL
8664,olitana,20427,NULL,NULL,NULL
8665,olitinata,20428,NULL,NULL,NULL
8666,alers,20496,NULL,NULL,NULL
8669,alers,21949,NULL,NULL,NULL
8674,Austrogoti,23349,NULL,NULL,NULL
8706,abdere,31389,NULL,NULL,NULL
8707,condere,31390,NULL,NULL,NULL
8710,eis,33883,NULL,NULL,NULL
8717,interuias,35669,NULL,NULL,NULL
8723,est,37073,NULL,NULL,NULL
8733,oculi,40703,NULL,NULL,NULL
8750,carius,50008,NULL,NULL,NULL
8761,cluor,51553,NULL,NULL,NULL
8768,utra,53753,NULL,NULL,NULL
8819,Letauia,65243,NULL,NULL,NULL
8841,cappulāre,71470,NULL,NULL,NULL
8855,sonere,78678,NULL,NULL,NULL
8879,uapiō,84965,NULL,NULL,NULL
8889,operire,2287,NULL,NULL,NULL
8896,moluī,5097,NULL,NULL,NULL
8898,mergere,5264,NULL,NULL,NULL
8899,mergere,5265,NULL,NULL,NULL
8933,Diouem,10173,NULL,NULL,NULL
8942,arguere,13496,NULL,NULL,NULL
8955,patris,16632,NULL,NULL,NULL
8960,statū,18126,NULL,NULL,NULL
8961,loca,18298,NULL,NULL,NULL
9040,caurīre,47619,NULL,NULL,NULL
9052,clāuiculae,51418,NULL,NULL,NULL
9060,quirquir,53653,NULL,NULL,NULL
9067,lapit,55637,NULL,NULL,NULL
9115,propteruus,64833,NULL,NULL,NULL
9126,rigare,66667,NULL,NULL,NULL
9164,excarpo,72319,NULL,NULL,NULL
9187,tāliāre,79180,NULL,NULL,NULL
9192,istum,81072,NULL,NULL,NULL
9212,īcī,2738,NULL,NULL,NULL
9214,cubuī,3986,NULL,NULL,NULL
9226,quassī,7064,NULL,NULL,NULL
9227,nēre,7167,NULL,NULL,NULL
9241,uīcī,8582,NULL,NULL,NULL
9243,datrīx,9957,NULL,NULL,NULL
9247,Ioue,10177,NULL,NULL,NULL
9248,Ioue,10182,NULL,NULL,NULL
9281,lītigāre,19461,NULL,NULL,NULL
9283,acerabulus,20264,NULL,NULL,NULL
9285,alēscere,20550,NULL,NULL,NULL
9286,coalēscere,20551,NULL,NULL,NULL
9288,anses,21515,NULL,NULL,NULL
9296,ballaena,25110,NULL,NULL,NULL
9309,duonos,30392,NULL,NULL,NULL
9319,dūnum,32900,NULL,NULL,NULL
9411,tribrisine,62611,NULL,NULL,NULL
9419,palpebrae,63243,NULL,NULL,NULL
9453,siat,69006,NULL,NULL,NULL
9455,asignas,69127,NULL,NULL,NULL
9467,crusina,72236,NULL,NULL,NULL
9481,sparum,75170,NULL,NULL,NULL
9497,tucca,80713,NULL,NULL,NULL
9501,truella,81887,NULL,NULL,NULL
9505,formaticum,81988,NULL,NULL,NULL
9512,branca,85309,NULL,NULL,NULL
