id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
5152,parentēs,5753,NULL,NULL,NULL,parentēs
5155,rāsī,6060,NULL,NULL,NULL,rāo
5158,strīnxī,7653,NULL,NULL,NULL,strīnxī
5160,tetinī,7943,NULL,NULL,NULL,tetinus
5161,tetendī,7958,NULL,NULL,NULL,teteo
5162,trūsī,8302,NULL,NULL,NULL,
5163,uīdī,8484,NULL,NULL,NULL,uīdī
5169,genere,11216,NULL,NULL,NULL,genus
5174,nāuex,12877,NULL,NULL,NULL,nāuo
5200,agnīle,19680,NULL,NULL,NULL,agnīl
5202,alterāre,20515,NULL,NULL,NULL,alterme
5203,altercāri,20518,NULL,NULL,NULL,altercāor
5204,coēpi,21642,NULL,NULL,NULL,coēpus
5207,babit,23494,NULL,NULL,NULL,bo
5213,friguttiō,26183,NULL,NULL,NULL,friguttiō
5214,fringuliō,26184,NULL,NULL,NULL,fringulus
5216,frontēsia,26402,NULL,NULL,NULL,frontēius
5219,fuī,26687,NULL,NULL,NULL,fuī
5220,fūī,26688,NULL,NULL,NULL,fūī
5224,dēterrimus,28479,NULL,NULL,NULL,dēterreo
5227,dīcāre,28791,NULL,NULL,NULL,dīcāris
5229,domī,29365,NULL,NULL,NULL,domī
5232,trustis,30289,NULL,NULL,NULL,trustis
5239,fracēre,32250,NULL,NULL,NULL,fracēria
5242,id,33885,NULL,NULL,NULL,is
5245,ēdimus,34238,NULL,NULL,NULL,ēdo
5249,ebulus,34379,NULL,NULL,NULL,ebulus
5251,oitile,34704,NULL,NULL,NULL,oitilis
5257,op,36235,NULL,NULL,NULL,op
5269,glomerāre,38217,NULL,NULL,NULL,glomerāre
5285,fūtilis,43092,NULL,NULL,NULL,fūtilis
5287,betulla,44908,NULL,NULL,NULL,betulla
5288,uoltur,44983,NULL,NULL,NULL,uolo
5289,uolturus,44984,NULL,NULL,NULL,uolo
5290,hahahae,45717,NULL,NULL,NULL,hahaha
5291,iotta,46055,NULL,NULL,NULL,iotta
5294,iousī,46258,NULL,NULL,NULL,
5297,caprī,47203,NULL,NULL,NULL,caprī
5302,conciliāre,48320,NULL,NULL,NULL,conciliāre
5313,cacabāre,51838,NULL,NULL,NULL,caco
5315,serescunt,52465,NULL,NULL,NULL,seresco
5316,ancunulentae,52614,NULL,NULL,NULL,ancunulens
5322,quōr,53652,NULL,NULL,NULL,quōr
5324,lāmentāri,53866,NULL,NULL,NULL,lāmentārum
5325,Lalla,53886,NULL,NULL,NULL,Lalla
5335,adluuiēs,56526,NULL,NULL,NULL,adluuiēs
5349,nuscitiōsus,61261,NULL,NULL,NULL,nuscitiōsus
5353,odefaciō,61481,NULL,NULL,NULL,odefaciō
5357,ploirume,63176,NULL,NULL,NULL,ploirus
5358,pultāre,63252,NULL,NULL,NULL,pultus
5373,pesna,64831,NULL,NULL,NULL,peino
5383,ragere,66873,NULL,NULL,NULL,ragio
5389,souos,68299,NULL,NULL,NULL,souus
5394,dēsinere,68826,NULL,NULL,NULL,dēsino
5409,solidāre,74557,NULL,NULL,NULL,solider
5412,spīcārium,74617,NULL,NULL,NULL,spīcārius
5413,dēstināre,76010,NULL,NULL,NULL,dēstināre
5420,sīfilō,78313,NULL,NULL,NULL,sīfilo
5421,sīfilus,78314,NULL,NULL,NULL,sīfilus
5423,dēsīderāre,78417,NULL,NULL,NULL,dēsīderāes
5430,attinēre,79787,NULL,NULL,NULL,attinēre
5435,torquēs,80477,NULL,NULL,NULL,torqo
5443,uitus,83181,NULL,NULL,NULL,uitus
5453,uersiōn,85394,NULL,NULL,NULL,uersiōn
5455,asseuērāre,85891,NULL,NULL,NULL,asseuērār
5462,foue,1244,NULL,NULL,NULL,foueo
5464,ēdī,2332,NULL,NULL,NULL,ēdī
5469,cubāre,3989,NULL,NULL,NULL,cubāris
5471,cōnīxī,4096,NULL,NULL,NULL,
5472,crepuī,4145,NULL,NULL,NULL,crepuī
5474,lūī,4828,NULL,NULL,NULL,lūī
5477,morirī,5230,NULL,NULL,NULL,mor
5479,peperī,5762,NULL,NULL,NULL,peperī
5481,rēpsī,6115,NULL,NULL,NULL,rēpsī
5483,rūpī,6256,NULL,NULL,NULL,rūpī
5484,sēuī,6362,NULL,NULL,NULL,sēuī
5485,sāgīre,6401,NULL,NULL,NULL,sāgo
5487,insece,6510,NULL,NULL,NULL,insexi
5488,cussī,7065,NULL,NULL,NULL,cussī
5491,nāre,7184,NULL,NULL,NULL,nāre
5492,spexī,7230,NULL,NULL,NULL,
5493,spōnsis,7249,NULL,NULL,NULL,spōnsis
5498,uerērī,8794,NULL,NULL,NULL,uerērī
5500,Fort,9286,NULL,NULL,NULL,Fort
5501,datum,9979,NULL,NULL,NULL,do
5502,datum,10039,NULL,NULL,NULL,do
5512,auscultāre,13799,NULL,NULL,NULL,auscultāre
5513,anticuus,14276,NULL,NULL,NULL,anticuus
5515,iouxmenta,14522,NULL,NULL,NULL,iouxmens
5519,auscultāre,14827,NULL,NULL,NULL,auscultāre
5527,roudus,17031,NULL,NULL,NULL,roudus
5534,auillus,19694,NULL,NULL,NULL,auillus
5537,allers,20497,NULL,NULL,NULL,allero
5538,adolēscere,20552,NULL,NULL,NULL,adolēsco
5539,allers,21948,NULL,NULL,NULL,allers
5543,auca,23289,NULL,NULL,NULL,auca
5550,fringuilla,26187,NULL,NULL,NULL,fringuillus
5554,forem,26690,NULL,NULL,NULL,forior
5559,dīcere,28790,NULL,NULL,NULL,dīceo
5561,domās,29419,NULL,NULL,NULL,domās
5562,drauoca,29908,NULL,NULL,NULL,drauocus
5564,datum,30735,NULL,NULL,NULL,do
5567,perdere,31393,NULL,NULL,NULL,perdo
5570,fēlō,31766,NULL,NULL,NULL,fēlō
5571,danea,32165,NULL,NULL,NULL,daneus
5573,ēdī,33837,NULL,NULL,NULL,
5576,ēdī,34237,NULL,NULL,NULL,ēdī
5587,galbeus,38132,NULL,NULL,NULL,galbeus
5590,germināre,39018,NULL,NULL,NULL,germināes
5594,dēgūnō,40415,NULL,NULL,NULL,dēgūnōa
5609,iouxmenta,46142,NULL,NULL,NULL,iouxmens
5612,epocalium,46927,NULL,NULL,NULL,epocalis
5613,capulāre,47091,NULL,NULL,NULL,capulāes
5633,cūcuru,51861,NULL,NULL,NULL,cūco
5641,intellegere,54352,NULL,NULL,NULL,intellego
5654,illūstrāre,56294,NULL,NULL,NULL,illūstrāre
5661,martellus,58083,NULL,NULL,NULL,martellus
5662,prōminēre,58648,NULL,NULL,NULL,prōminēe
5667,nāuigāre,60423,NULL,NULL,NULL,nāuigo
5670,Nōdonti,61251,NULL,NULL,NULL,nōdons
5677,paenitet,62640,NULL,NULL,NULL,paeniteo
5681,plusima,63178,NULL,NULL,NULL,plusimus
5701,rancāre,66864,NULL,NULL,NULL,ranco
5706,rūmāre,67799,NULL,NULL,NULL,rūmārum
5711,īnsece,69267,NULL,NULL,NULL,īnsecio
5715,sarctus,70184,NULL,NULL,NULL,sarcio
5718,screāre,72444,NULL,NULL,NULL,scrio
5719,scirpea,72591,NULL,NULL,NULL,scirpo
5733,stupendus,77928,NULL,NULL,NULL,stupeo
5737,tālia,79179,NULL,NULL,NULL,tālia
5740,pertinēre,79788,NULL,NULL,NULL,pertinēo
5744,trībulāre,80110,NULL,NULL,NULL,trībulāre
5769,flēre,349,NULL,NULL,NULL,flēer
5774,algēre,2790,NULL,NULL,NULL,algēer
5775,ind,2937,NULL,NULL,NULL,ind
5776,oit,3195,NULL,NULL,NULL,oita
5777,meiere,3264,NULL,NULL,NULL,meieo
5780,mersī,5267,NULL,NULL,NULL,
5786,nēuī,7174,NULL,NULL,NULL,nēuī
5787,tēxī,7413,NULL,NULL,NULL,tēxī
5788,tonuī,7544,NULL,NULL,NULL,tonuī
5790,tersī,8015,NULL,NULL,NULL,
5794,uēxī,8441,NULL,NULL,NULL,uēxī
5802,diem,10212,NULL,NULL,NULL,dies
5806,būbus,11834,NULL,NULL,NULL,būbus
