lex_ref_link_id,orig_word_id,reflex,gloss_eng,master_lemma,master_entry_str,new_word_id
61450,300111,"ámīti ","oppressed, assures urgently, swears","am (अम्)","3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",NULL
61454,300111,"ámatē ",oppressed,"am (अम्)","3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",NULL
61460,300111,āmáyati,"damages; is defective, sick","am (अम्)","3. am (अम्)   amati (अमति), to go, L.; to go to or towards, L.; to serve or honour, L.; to sound, L.;  (Imper. Ā. 2. sg. amīṣva (अमीष्व); aor. āmīt (आमीत्); cf. abhy-√ am (अभ्य्-√ अम्)) to fix, render firm, TS.;  (perf. p. acc. sg. emuṣam (एमुषम्) for emivāṃsám (एमिवांसम्)) to be pernicious or dangerous, RV. viii, 77, 10 : Caus. āmayáti (आमयति) (impf. āmáyat (आमयत्); aor. Subj. āmamat (आममत्)) to be afflicted or sick, RV.; AV.; VS. (cf. an-āmayat (अन्-आमयत्)).",NULL
20454,300150,"áśram ",tear,"aśra (अश्र)","2. aśra (अश्र)   for asra (अस्र) (a tear, blood) q.v.",NULL
28302,300150,aśra-m,tear,"aśra (अश्र)","2. aśra (अश्र)   for asra (अस्र) (a tear, blood) q.v.",NULL
61081,300161,ási-ta-,"dark-colored, black","asita (असित)","2. asíta (असि॑त)   mf(ā (आ); Ved. asíknī (असि॑क्नी))n. (sita (सित), ‘white’, appears to have been formed from this word, which is probably original, and not a compound of a (अ) and sita (सित); cf. asura (असुर) and sura (सुर)), dark-coloured, black, RV. &c. asíta (असि॑त)   m. the planet Saturn, VarBṛS. a poisonous animal (said to be a kind of mouse), L. N. of the lord of darkness and magic, AV.; ŚBr.; ĀśvŚr. of a descendant of khaśyapa (खśयप) (composer of RV. ix, 5-24), named also dhevala (धेवल) [RAnukr.] or āsita (आसित) dhevala (धेवल) [MBh.; Hariv.] N. of a man (with the patron. Vārṣagaṇa (Vāर्ṣअगṇअ)), ŚBr. xiv of a son of bhharata (भ्हरत), R. of a Ṛṣi (Ṛṣइ), Buddh. of a mountain, MBh. iii, 8364; Kathās. (as (अस्)), a black snake, AV. a ṃantra (ंअन्त्र) (saving from snakes), MBh. i, 2188 asita (असित)   (also) the dark half of a lunar month, L. a partic. intoxicating drink, L.",NULL
61082,300161,ási-knī,"dark-colored, black","asita (असित)","2. asíta (असि॑त)   mf(ā (आ); Ved. asíknī (असि॑क्नी))n. (sita (सित), ‘white’, appears to have been formed from this word, which is probably original, and not a compound of a (अ) and sita (सित); cf. asura (असुर) and sura (सुर)), dark-coloured, black, RV. &c. asíta (असि॑त)   m. the planet Saturn, VarBṛS. a poisonous animal (said to be a kind of mouse), L. N. of the lord of darkness and magic, AV.; ŚBr.; ĀśvŚr. of a descendant of khaśyapa (खśयप) (composer of RV. ix, 5-24), named also dhevala (धेवल) [RAnukr.] or āsita (आसित) dhevala (धेवल) [MBh.; Hariv.] N. of a man (with the patron. Vārṣagaṇa (Vāर्ṣअगṇअ)), ŚBr. xiv of a son of bhharata (भ्हरत), R. of a Ṛṣi (Ṛṣइ), Buddh. of a mountain, MBh. iii, 8364; Kathās. (as (अस्)), a black snake, AV. a ṃantra (ंअन्त्र) (saving from snakes), MBh. i, 2188 asita (असित)   (also) the dark half of a lunar month, L. a partic. intoxicating drink, L.",NULL
37202,300163,asra-,blood,"asra (अस्र)","2. asra (अस्र)   n. blood, Ragh. xvi, 15 (cf. asṛ́j (असृ॑ज्).)",NULL
33736,300171,ā,"to, toward","ā (आ)","4. ā (आ)   (as a prefix to verbs, especially of motion, and their derivatives) near, near to, towards (see ā-√ kram (आ-√ क्रम्) &c.; in the Veda (Vएद), of course, the prefix is separable from the verb; in a few cases, RV. i, 10, 11 and v, 64, 5, a verb in the imperative is to be supplied; with roots like gam (गम्), yā (या), and i (इ), ‘to go’, and 1. dā (दा), ‘to give’, it reverses the action; e.g. ā-gacchati (आ-गच्छति), ‘he comes’; ā-datte (आ-दत्ते), ‘he takes’). (As a prep. with a preceding acc.) near to, towards, to, RV. (with a preceding noun in the acc., as joṣám (जोषम्) or varám (वरम्)) for, RV. (with a following acc.) up to … exclusively, AitBr. (with a preceding abl.) from, RV.; AV. out of, from among (e.g. bahubhyá ā (बहुभ्य आ), ‘from among many’), RV. towards (only in asmad ā́ (अस्मद् आ), ‘towards us’), RV. (with a following abl. cf. Pāṇ. ii, 1, 13 & 3, 10) up to, to, as far as, RV.; AV. &c. from, RV. i, 30, 21 (with a preceding loc.) in, at, on RV.; AV. (As an adv. after words expressing a number or degree) fully, really, indeed (e.g. trir ā́ divas (त्रिर् आ॑ दिवस्), ‘quite or fully three times a day’; mahimā vā́m indrā (महिमा वाम् इ॑न्द्रा)gnI pa/nizWa A/,, ‘your greatness, O īndra (ईन्द्र) and āgni (आग्नि), is most praiseworthy indeed’, &c.), RV. (after a subst. or adj.) ‘as, like’, (or it simply strengthens the sense of the preceding word), RV., (after a verb), RV. v, 7, 7; KenaUp. (as a conjunctive particle) moreover, further, and (it is placed either between the two words connected [rarely after the second, RV. x, 16, 11, or after both, RV. x, 92, 8] or, if there are more, after the last [RV. iv, 57, 1 and x, 75, 5]; see also ā (आ)taS ca s.v.) In classical Sanskṛt it may denote the limit ‘to’, ‘until’, ‘as far as’, ‘from’, either not including the object named or including it (sometimes with acc. or abl. or forming an adv.) e.g. ā-maraṇam (आ-मरणम्) or ā-maraṇāt (आ-मरणात्), ‘till death’, Pañcat. (cf. ā-maraṇā (आ-मरणा)nta &c.) ā-gopālā dvijātayaḥ (आ-गोपाला द्विजातयः), ‘the twice-born including the cowherds’, MBh. ii, 531 ā-samudram (आ-समुद्रम्) or ā-samudrāt (आ-समुद्रात्), ‘as far as the ocean’ or ‘from the ocean’ (but not including it) ā-kumāram (आ-कुमारम्), ‘from a child’ or ‘from childhood’ or ‘to a child’ (cf. Lat. a puero), MBh. iii, 1403 ā-kumāram yaśaḥ pāṇineḥ (आ-कुमारम् यशः पाणिनेः), ‘the fame of phāṇini (फ्āṇइनि) extends even to children’ ā (आ)   ājānu-bāhu (आजानु-बाहु) mfn. ‘one whose arms reach down to the knees’, R. i, 1, 12 ā (आ)   (see also ākarṇa- (आकर्ण-) and ājanma- (आजन्म-)) ā (आ)   (cf. ā-jarasam (आ-जरसम्), ā-vyuṣam (आ-व्युषम्), ā-saptama (आ-सप्तम), o (ओ)tsUrya/m.) Prefixed to adj. [rarely to subst.; cf. ā-kopa (आ-कोप)] it implies diminution, Pāṇ. ii, 2, 18 Comm. ‘a little’ e.g. ā-piñjara (आ-पिञ्जर) mfn. a little red, reddish, Ragh. xvi, 51 ā (आ)   (see also ā-pakva (आ-पक्व), o (ओ)zRa, &c.) Some commentaries (e.g. Comm. on Ragh. iii, 8) occasionally give to ā (आ) in this application the meaning samantāt (समन्तात्), ‘all through, completely’, as ā-nīla (आ-नील), ‘blue all round’.",NULL
37159,300215,ā́stē,"he sits","ās (आस्)","2. ās (आस्)   cl. 2. Ā. āsté (आस्ते॑) (and āsáte (आसते॑), AV. xi, 8, 32, &c.; Impv. 2. sg. ās-sva (आस्-स्व), āsva (आस्व), and āsasva (आसस्व); 2. pl. ādhvam (आध्वम्); p. āsāna (आसान), āsat (आसत्) [R.], and āsīna (आसीन) [see below]; āsāṃ-cakre (आसां-चक्रे) [Pāṇ. iii, 1, 87]; āsiṣyate (आसिष्यते); āsiṣṭa (आसिष्ट); āsitum (आसितुम्)) to sit, sit down, rest, lie, RV.; AV.; ŚBr.; Mn.; MBh.; Śak. &c.; to be present; to exist; to inhabit, dwell in; to make one's abode in RV.; AV.; VS.; MBh. &c.; to sit quietly, abide, remain, continue, RV.; AV. &c.; to cease, have an end, Pañcat.; Daś.; Hit. &c.; to solemnize, celebrate; to do anything without interruption; to continue doing anything; to continue in any situation; to last;  (it is used in the sense of ‘continuing’, with a participle, adj., or subst., e.g. etat sāma gāyann āste (एतत् साम गायन्न् आस्ते), ‘he continues singing this verse’; with an indeclinable participle in tvā (त्वा), ya (य), or am (अम्), e.g. upa-rudhya arim āsīta (उप-रुध्य अरिम् आसीत), ‘he should continue blockading the foe’; with an adverb, e.g. tūṣṇīm āste (तूष्णीम् आस्ते), ‘he continues quiet’; sukham āsva (सुखम् आस्व), ‘continue well’; with an inst. case, e.g. sukhenā (सुखेना)ste, ‘he continues well’; with a dat. case, e.g. āstāṃ tuṣṭaye (आस्तां तुष्टये), ‘may it be to your satisfaction’) : Caus. āsayati (आसयति), to cause any one to sit down Comm. on Pāṇ. : Desid. Ā. āsisiṣate (आसिसिषते), ib.;",NULL
