lemma,type,orthography,part-of-speech,etymology,entry
abhorreo,main,"ăb-horrĕo, ui, ēre, 2",v. n. and a.,\N,"<sense level=""1"" n=""I"" id=""n75.0"">, <hi rend=""ital"">to shrink back from</hi> a thing, <hi rend=""ital"">to shudder at</hi>, <hi rend=""ital"">abhor.</hi> </sense><sense level=""2"" n=""B"" id=""n75.4""> In a yet more general sense, <hi rend=""ital"">to be remote from</hi> an object, i. e. <hi rend=""ital"">to vary</hi> or <hi rend=""ital"">differ from</hi>, <hi rend=""ital"">to be inconsistent</hi> or <hi rend=""ital"">not to agree with</hi> (freq. and class.): <cit><quote lang=""la"">temeritas tanta, ut non procul abhorreat ab insaniā,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi002.perseus-lat1:Rosc:24:68""><author>Cic.</author> Rosc. Am. 24, 68</bibl></cit>: <cit><quote lang=""la"">a vulgari genere orationis atque a consuetudine communis sensus,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi037.perseus-lat1:Orat::1:3:12""><author>id.</author> de Or. 1, 3, 12</bibl></cit>: <cit><quote lang=""la"">oratio abhorrens a personā hominis gravissimi,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi043.perseus-lat1:1:15""><author>id.</author> Rep. 1, 15</bibl></cit>: <cit><quote lang=""la"">ab opinione tuā,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi005.perseus-lat1:2:3:121""><author>Cic.</author> Verr. 2, 3, 20</bibl></cit>: Punicum abhorrens os ab Latinorum nominum prolatione,<cb n=""ABIC""/>  <bibl n=""urn:cts:latinLit:phi0914.phi001:22:13""><author>Liv.</author> 22, 13</bibl>; so <bibl n=""urn:cts:latinLit:phi0914.phi001:29:6""><author>id.</author> 29, 6</bibl>; <bibl n=""urn:cts:latinLit:phi0914.phi001:30:44"">30, 44</bibl>: <cit><quote lang=""la"">a fide,</quote> <trans><tr>to be incredible</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0914.phi001:9:36""><author>id.</author> 9, 36</bibl></cit>: <cit><quote lang=""la"">a tuo scelere,</quote> <trans><tr>is not connected with</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0474.phi013.perseus-lat1:1:18""><author>Cic.</author> Cat. 1, 7 al.</bibl></cit> —Hence, like dispar, with <hi rend=""ital"">dat.</hi>: <cit><quote lang=""la"">tam pacatae profectioni abhorrens mos,</quote> <trans><tr>not accordant with</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0914.phi001:2:14""><author>Liv.</author> 2, 14</bibl></cit>.—</sense>"
abhorresco,main,"ăb-horresco, = horresco (eccl. Lat.), ĕre",\N,\N,"<bibl n=""urn:cts:greekLit:tlg0527.tlg024:6:12""><author>Vulg.</author> 2 Macc. 6, 12</bibl>.."
abhorride,hapax,ăb-horridē,adv.,\N,"<sense level=""1"" n=""I"" id=""n77.0""><hi rend=""ital"">in an unfit manner</hi>, <hi rend=""ital"">improperly</hi>, <bibl><author>Charis.</author> p. 41</bibl> P.</sense>"
abicio,main,ăbĭcĭo (in the best MSS. abicio; cf. abjĭc-,\N,\N,"<sense level=""1"" n=""I"" id=""n78.0""><cit><quote lang=""la"">ăbĭci,</quote> <bibl n=""urn:cts:latinLit:phi0959.phi009.perseus-lat1:2:3:37""><author>Ov.</author> P. 2, 3, 37</bibl></cit>; <cit><quote lang=""la"">ăbĭcit,</quote> <bibl n=""urn:cts:latinLit:phi1276.phi001.perseus-lat1:15:17""><author>Juv.</author> 15, 17</bibl></cit>), <itype>ĕre, jēci, jectum, 3</itype>, <pos>v. a.</pos> <etym>ab-jacio</etym>, <hi rend=""ital"">to cast away</hi>, <hi rend=""ital"">to throw away</hi>, <hi rend=""ital"">throw down.</hi> </sense><sense level=""2"" n=""B"" id=""n78.9""> Nihil abjectum, nihil humile cogitare, <bibl n=""urn:cts:latinLit:phi0474.phi048.perseus-lat1:5:20""><author>Cic.</author> Fin. 5, 20</bibl>: <cit><quote lang=""la"">contemptum atque abjectum,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi011.perseus-lat1:2:34""><author>id.</author> Agr. 2, 34</bibl></cit>: <cit><quote lang=""la"">verbis nec inops nec abjectus,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi039.perseus-lat1:62:222""><author>id.</author> Brut. 62, 222 al.</bibl></cit>—<hi rend=""ital"">Comp.</hi>: <cit><quote lang=""la"">animus abjectior,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi052.perseus-lat1:16""><author>Cic.</author> Lael. 16</bibl></cit>; <bibl n=""urn:cts:latinLit:phi0914.phi001:9:6""><author>Liv.</author> 9, 6</bibl>.—<hi rend=""ital"">Sup.</hi>: <cit><quote lang=""la"">animus abjectissimus,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:11:1:13""><author>Quint.</author> 11, 1, 13 al.</bibl></cit>—<hi rend=""ital"">Adv.</hi>: <orth lang=""la"" extent=""full"">abjectē</orth>. </sense>"
abiegnus,main,"ăbĭēgnus, a, um",adj.,\N,"(<usg type=""style"">poet.</usg>, also tri. syllabic; collateral form ABIEGNEVS, Inscr. Napol.) [abies], , also tri. syllabic; collateral form ABIEGNEVS, Inscr. Napol.) [abies], <sense level=""1"" n=""I"" id=""n79.0""><hi rend=""ital"">made of fir-wood</hi> or <hi rend=""ital"">deal</hi>: trabes, i. e. <hi rend=""ital"">a ship</hi>, Enn. ap. Auct. ad <bibl><author>Her.</author> 2, 22, 34</bibl>: <cit><quote lang=""la"">sors,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi006.perseus-lat1:2:6""><author>Plaut.</author> Cas. 2, 6, 32</bibl></cit>: <cit><quote lang=""la"">equus,</quote> <trans>i. e. <tr>the wooden horse before Troy</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0620.phi001.perseus-lat2:4:1:25""><author>Prop.</author> 4, 1, 25</bibl></cit> (cf. <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:2:16""><author>Verg.</author> A. 2, 16</bibl>): stipes, Att. ap. <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 219</bibl> Müll. (Trag. Rel. p. 170 Rib.): <cit><quote lang=""la"">hastile,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:21:8:10""><author>Liv.</author> 21, 8, 10</bibl></cit>: <cit><quote lang=""la"">scobis,</quote> <bibl n=""urn:cts:latinLit:phi0845.phi001:12:44:4""><author>Col.</author> 12, 44, 4 al.</bibl></cit></sense>"
abiens,main,"ăbĭens, euntis",\N,\N,<mood>Part.</mood> of abeo. of abeo.
abies,main,"ăbĭēs (abietis, abiete, trisyllabic in ĕtis",\N,\N,"<usg type=""style"">poet.</usg>, Enn. ap. , Enn. ap. <bibl n=""urn:cts:latinLit:phi0474.phi049.perseus-lat1:3:19:44""><author>Cic.</author> Tusc. 3, 19, 44</bibl>; ; <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:9:674""><author>Verg.</author> A. 9, 674</bibl>), ), <etym>etym. uncer., perh. akin to <foreign lang=""greek"">ἀλδαίνω</foreign>; cf. <foreign lang=""greek"">ἐλάτη</foreign> = pinus</etym>, , <sense level=""3"" n=""1"" id=""n81.2""> = epistula, <hi rend=""ital"">a letter</hi> (written on a tablet <hi rend=""ital"">of fir</hi>), <bibl n=""urn:cts:latinLit:phi0119.phi014.perseus-lat1:2:2:66""><author>Plaut.</author> Pers. 2, 2, 66</bibl> (cf. Engl. <hi rend=""ital"">book</hi>, i. e. <hi rend=""ital"">beech</hi>).—</sense>"
abietarius,main,"ăbĭĕtārĭus, a, um",adj.,abies,"<sense level=""1"" n=""I"" id=""n82.0""><hi rend=""ital"">pertaining to fir-wood</hi>, <hi rend=""ital"">deal</hi>: negotio, Paul. ex <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 27</bibl> Müll.—<hi rend=""ital"">Subst.</hi>: <orth lang=""la"" extent=""full"">ăbĭĕtārĭus</orth>, <itype>ii</itype>, <gen>m.</gen>, <hi rend=""ital"">a joiner</hi>, <bibl n=""urn:cts:greekLit:tlg0527.tlg002:35:35""><author>Vulg.</author> Exod. 35, 35</bibl>.</sense>"
abiga,hapax,"ăbĭga, ae",n. f.,abigo,"<sense level=""1"" n=""I"" id=""n83.0""><hi rend=""ital"">a plant which has the power of producing abortion;</hi> Greek <foreign lang=""greek"">χαμαίπιτυς</foreign>, <hi rend=""ital"">ground-pine</hi>: Teucrium iva, Linn.; <bibl n=""urn:cts:latinLit:phi0978.phi001:24:29""><author>Plin.</author> 24, 6, 20, § 29</bibl>.</sense>"
abigeator,hapax,"ăbĭgĕātor, ōris",n. m.,\N,"= abigeus or abactor,<sense level=""1"" n=""I"" id=""n84.0""><hi rend=""ital"">a cattle-stealer</hi>, <bibl><author>Paul.</author> Sent. 5, 18</bibl>.</sense>"
abigeatus,main,"ăbĭgĕātus, ūs",n. m.,abigeus,"<sense level=""1"" n=""I"" id=""n85.0""><hi rend=""ital"">cattlestealing</hi>, <bibl n=""Dig. 47.14.1"">Dig. 47, 14, 1 sq.</bibl>; <bibl n=""Dig. 49.16.5.2"">49, 16, 5, § 2</bibl>.</sense>"
abigeus,main,"ăbĭgĕus, i",n. m.,abigo,"<sense level=""1"" n=""I"" id=""n86.0""><hi rend=""ital"">one that drives away</hi> cattle, <hi rend=""ital"">a cattle-stealer</hi>, <bibl n=""Dig. 47.14.1"">Dig. 47, 14, 1</bibl>; <bibl n=""Dig. 48.19.16"">48, 19, 16</bibl>.</sense>"
abigo,main,"ăb-ĭgo, ēgi, actum, 3",v. a.,ago,"<sense level=""1"" n=""I"" id=""n87.0""><hi rend=""ital"">to drive away.</hi> </sense><sense level=""2"" n=""A"" id=""n87.2""> In gen.: <cit><quote lang=""la"">abigam jam ego illum advenientem ab aedibus,</quote> <trans><tr>I will drive him away as soon as he comes</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0119.phi001.perseus-lat1:1:prol""><author>Plaut.</author> Am. prol. 150</bibl></cit>: <cit><quote lang=""la"">jam hic me abegerit suo odio,</quote> <trans><tr>he will soon drive me away</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0119.phi002.perseus-lat1:2:4""><author>id.</author> As. 2, 4, 40</bibl></cit>; so <bibl n=""urn:cts:latinLit:phi0134.phi006.perseus-lat1:3:3:47""><author>Ter.</author> Ad. 3, 3, 47</bibl>; <bibl n=""urn:cts:latinLit:phi0684""><author>Varr.</author> R. R. 2, 1</bibl>; <bibl n=""urn:cts:latinLit:phi0474.phi037.perseus-lat1:Orat::2:247""><author>Cic.</author> de Or. 2, 60 al.</bibl>: <cit><quote lang=""la"">uxorem post divortium,</quote> <trans><tr>to remove from the house</tr>,</trans> <bibl n=""urn:cts:latinLit:phi1348.phi013:7""><author>Suet.</author> Tib. 7</bibl></cit>.—</sense><sense level=""2"" n=""A"" id=""n87.9""> Of magistrates, <hi rend=""ital"">driven away</hi>, <hi rend=""ital"">forced to resign</hi> their office, Paul. ex <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 23</bibl> Müll.—</sense>"
Abii,main,"Ăbĭi, ōrum",n. m.,\N,"<sense level=""1"" n=""I"" id=""n88.0""><hi rend=""ital"">a Scythian tribe in Asia</hi>, <bibl n=""urn:cts:latinLit:phi0860.phi001:7:6:11""><author>Curt.</author> 7, 6, 11</bibl>; <bibl><author>Amm.</author> 23, 6, 53</bibl>.</sense>"
abitio,main,"ăbĭtĭo, ōnis",n. f.,abeo,"<sense level=""1"" n=""I"" id=""n89.0""><hi rend=""ital"">a going away</hi>, <hi rend=""ital"">departure.</hi> </sense>"
abito,hapax,"ā-bīto, ĕre, 3",v. n.,"bēto, bīto","<sense level=""1"" n=""I"" id=""n90.0""><hi rend=""ital"">to go away</hi>, <hi rend=""ital"">depart</hi>: <cit><quote lang=""la"">ne quo abitat,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi017.perseus-lat1:3:4""><author>Plaut.</author> Rud. 3, 4, 72</bibl></cit>; cf. Lucil. ap. Vel. Long. p. 2225 P.</sense>"
abitus,main,"ăbĭtus, ūs",n. m.,abeo,"<sense level=""1"" n=""I"" id=""n91.0""><hi rend=""ital"">a going away</hi>, <hi rend=""ital"">departure.</hi> </sense>"
abjecte,main,abjectē,adv.,\N,"v. abicio,<sense level=""1"" n=""I"" id=""n92.0""><hi rend=""ital"">P. a. fin.</hi></sense>"
abjectio,main,"abjectĭo, ōnis",n. f.,abicio,"<sense level=""1"" n=""I"" id=""n93.0""> <hi rend=""ital"">A throwing away</hi> or <hi rend=""ital"">rejecting</hi>: <cit><quote lang=""la"">figurarum (opp. additio),</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:9:3:18""><author>Quint.</author> 9, 3, 18</bibl></cit>.—*</sense>"
abjectus,main,"abjectus, v. a, um, abicio",P. a.,\N,\N
abjicio,main,abjicio,\N,\N,v. abicio.
abjudicativus,hapax,"abjūdĭcātīvus, a, um",adj.,\N,"in later philos. lang. = negativus,<sense level=""1"" n=""I"" id=""n96.0""><hi rend=""ital"">negative</hi>, <bibl><author>Pseudo</author> pp. Dogm. Plat. p. 30</bibl> Elm. (267 Oud.).</sense>"
abjudico,main,"ab-jūdĭco, āvi, ātum, 1",v. a.,\N,"<sense level=""1"" n=""I"" id=""n97.0""><hi rend=""ital"">to deprive</hi> one <hi rend=""ital"">of</hi> a thing <hi rend=""ital"">by judicial sentence</hi>, <hi rend=""ital"">to declare that</hi> it <hi rend=""ital"">does not belong to</hi> one, <hi rend=""ital"">to abjudicate</hi>, lit. and trop. (opp. adjudico); constr. with <hi rend=""ital"">aliquid</hi> or <hi rend=""ital"">aliquem ab aliquo</hi>, or <hi rend=""ital"">alicui</hi>: <cit><quote lang=""la"">abjudicata a me modo est Palaestra,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi017.perseus-lat1:5:1""><author>Plaut.</author> Rud. 5, 1, 3</bibl></cit>; <bibl>4, 3, 100</bibl>; <bibl n=""urn:cts:latinLit:phi0119.phi002.perseus-lat1:3:3""><author>id.</author> As. 3, 3, 17</bibl>: <cit><quote lang=""la"">(Rullus) judicabit Alexandream regis esse, a populo Romano abjudicabit,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi011.perseus-lat1:2:16""><author>Cic.</author> Agr. 2, 16</bibl></cit>; cf.: <cit><quote lang=""la"">rationem veritatis, integritatis... ab hoc ordine abjudicari,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi005.perseus-lat1:2:1:4""><author>Cic.</author> Verr. 2, 1, 2, § 4</bibl></cit>: <cit><quote lang=""la"">sibi libertatem,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi008.perseus-lat1:34""><author>id.</author> Caecin. 34</bibl></cit> (in <bibl n=""urn:cts:latinLit:phi0474.phi037.perseus-lat1:Orat::2:24:102""><author>Cic.</author> de Or. 2, 24, 102</bibl>, many since Budaeus, acc. to the MSS., read <hi rend=""ital"">abdĭco;</hi> so B. and K.).</sense>"
abjugo,hapax,"ab-jūgo, āre, 1",v. a.,\N,"lit.,<sense level=""1"" n=""I"" id=""n98.0""><hi rend=""ital"">to loose from the yoke;</hi> hence, in gen., <hi rend=""ital"">to remove</hi>, <hi rend=""ital"">to separate from</hi>: quae res te ab stabulis abjugat? Pac. ap. <bibl><author>Non.</author> 73, 22</bibl> (Trag. Rel. p. 104 Rib.).</sense>"
abjunctus,main,"abjunctus, a, um",\N,\N,<mood>Part.</mood> of abjungo. of abjungo.
abjungo,main,"ab-jungo, xi, ctum, 3",v. a.,\N,"<sense level=""1"" n=""I"" id=""n100.0""> <usg type=""style"">Lit.</usg>, <hi rend=""ital"">to unyoke</hi>: <cit><quote lang=""la"">juvencum,</quote> <bibl n=""urn:cts:latinLit:phi0690.phi002.perseus-lat1:3:518""><author>Verg.</author> G. 3, 518</bibl></cit>.— Hence, </sense>"
abjuratio,main,"abjūrātĭo, ōnis",n. f.,abjuro,"<sense level=""1"" n=""I"" id=""n101.0""><hi rend=""ital"">a forswearing</hi>, <bibl><author>Isid.</author> Orig. 5, 6, 20</bibl>.</sense>"
