lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
24431,bairgen,bread,4790,bairgen,bread,bread
24458,barr,"point, summit, foliage",909,barr,tip,tip
24592,bibdu,"guilty, enemy",5993,bibdu,guilty,guilty
24594,bodar,"deaf, stunned, confused",1668,bodar,deaf,deaf
24747,bongid,"breaks, harvests, conquers",3621,bongid,alternative spelling of bongaid,alternative spelling of bongaid
24842,bech,bee,1799,bech,bee,bee
25111,ball,"limb, body part; part, place, spot (also on the body)",127,ball,a body part,a body part
25210,bile,tree,494,bile,"tree, especially a large, ancient, sacred one","tree, especially a large, ancient, sacred one"
25691,biru,carry,1131,biru,first-person singular present indicative absolute of beirid,first-person singular present indicative absolute of beirid
25693,berid,carry,1426,berid,alternative spelling of beirid,alternative spelling of beirid
25709,brāth,court,4430,bráth,"the Last Judgement, doomsday","(Christianity) the Last Judgement, doomsday"
25841,topur,spring,5026,topur,source,source
26283,Brigit,\N,1755,Brigit,The goddess of the Sacred Flame of Kildare and the patron goddess of the Druids. Daughter of the Dagdae of the Túatha Dé Danann.,(Irish mythology) The goddess of the Sacred Flame of Kildare and the patron goddess of the Druids. Daughter of the Dagdae of the Túatha Dé Danann.
26467,bruth,"heat, rage",2393,bruth,"raging, violent or boiling heat","raging, violent or boiling heat"
26708,buith,to be,5171,buith,verbal noun of at·tá,verbal noun of at·tá
26867,robud,admonition,6128,robud,"notice, warning","notice, warning"
27443,bolad,smell,2232,bolad,"smell, scent (usually in a good sense)","smell, scent (usually in a good sense)"
27450,borb,foolish,983,borb,"foolish, silly, senseless; stupid, ignorant, unlearned; rude, uncouth","foolish, silly, senseless; stupid, ignorant, unlearned; rude, uncouth"
27465,búaid,victory,2702,búaid,"victory, triumph","victory, triumph"
27663,briathar,word,3189,bríathar,word,word
27839,brūach,ventriosus,1887,bruach,"edge, brink","edge, brink"
27841,bruinne,breast,5450,bruinne,"breast, bosom","breast, bosom"
28716,dīan,quick,4003,dían,"swift, rapid, quick","swift, rapid, quick"
28862,dech,the best,1112,dech,comparative degree of maith: best,comparative degree of maith: best
28893,dess,"right, southern",878,dess,"right (side, as opposed to left)","right (side, as opposed to left)"
28980,trīcho,thirty,3165,trícho,thirty,thirty
28991,dechmad,tenth,3162,dechmad,tenth,tenth
29130,delb,"shape, form",3188,delb,"form, shape","form, shape"
29284,long,ship,136,long,boat,boat
29555,dorn,"fist, hand",735,dorn,"hand, fist","hand, fist"
29576,dordaid,roars,3280,dordaid,"to buzz, to hum, to drone","to buzz, to hum, to drone"
30194,derucc,glans,4150,derucc,acorn,acorn
30200,dērb,secure,817,derb,"sure, certain, fixed, determinate","sure, certain, fixed, determinate"
30202,dair,oak,1595,dair,oak,oak
30624,tengae,tongue,1485,tengae,tongue,tongue
30772,dān,"donum, ars, ingenium (talent)",540,dán,gift,gift
30816,doë,arm,255,doe,upper arm,upper arm
30881,du-,difficult,3979,du-,alternative form of do-,alternative form of do-
31887,digen,firm,5125,digén,first-person singular future prototonic of do·gní,first-person singular future prototonic of do·gní
31890,dingid,suppresses,3195,dingid,to press,to press
32175,dingid,suppresses,3195,dingid,to press,to press
32432,drong,crowd,1260,drong,group of people,group of people
32582,draigen,blackthorn,5944,draigen,"blackthorn, Prunus spinosa","blackthorn, Prunus spinosa"
32725,duine,human,732,duine,"person, human being","person, human being"
32912,dobur,water,2639,dobur,"water, river","(rare) water, river"
33099,domain,deep,143,domain,deep,deep
33107,domun,world,1839,domun,"the world, the Earth","the world, the Earth"
33373,dliged,"duty, law, right",2005,dliged,"law, rule","law, rule"
33540,drucht,drop,5033,drúcht,"dew (moisture in the air that settles on plants, etc.)","dew (moisture in the air that settles on plants, etc.)"
33894,āi,eius,1116,aí,"his, hers, theirs (optionally governed by the definite article)","his, hers, theirs (optionally governed by the definite article)"
33896,-ib,\N,4297,-ib,forms the dative dual and plural of nouns,forms the dative dual and plural of nouns
34187,dofūaid,\N,2731,dofúaid,third-person singular perfect deuterotonic of ithid,third-person singular perfect deuterotonic of ithid
34188,esse,eaten,258,esse,alternative form of essi: third-person singular feminine of a,alternative form of essi: third-person singular feminine of a
34474,echtar,extra,5961,echtar,"outside, without","outside, without"
34478,ess-,out of,3312,ess-,"ex-, out","ex-, out"
34608,ethar,ferry boat,6145,ethar,boat,boat
34878,īärn,iron,1718,íarn,iron,iron
34955,ech,horse,1573,ech,horse,horse
35241,luid,went,701,luid,third-person singular preterite absolute of téit,third-person singular preterite absolute of téit
35606,eter,between,1301,eter,between,between
35670,imbliu,navel,3615,imbliu,navel,navel
35695,nem,sky,218,nem,heaven,heaven
35703,nēl,"cloud, fog",3178,nél,cloud,cloud
35788,rīchtu,\N,4174,ríchtu,"verbal noun of ro·icc: reaching, arrival","verbal noun of ro·icc: reaching, arrival"
35789,tīchtu,\N,6166,tíchtu,verbal noun of do·icc: the act of coming,verbal noun of do·icc: the act of coming
35902,nōmad,ninth,3161,nómad,ninth,ninth
36162,iarm-,"after, secundum",5443,íarm-,"post-, after-","post-, after-"
36235,irar,eagle,496,irar,eagle,eagle
36654,ibar,yew,1155,ibar,yew,yew
36856,imram,rowing,5392,imram,verbal noun of imm·rá: rowing,verbal noun of imm·rá: rowing
