lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
60235,ē-,negation particle,1417,é-,"alternative form of an- (“un-, non-”)","alternative form of an- (“un-, non-”)"
60236,an-,negation particle,289,an-,"un-, not","un-, not"
60385,noīb,holy,3181,noíb,"holy, sacred","holy, sacred"
60392,nīa,hero,332,nia,"warrior, champion","warrior, champion"
60836,nūall,"cry, noise, proclamation",3751,núall,a loud noise,a loud noise
61551,ingen,nail,665,ingen,"nail (fingernail, toenail)","nail (fingernail, toenail)"
61810,ōi,sheep,584,oí,sheep,"(poetic, archaic) sheep"
61890,āu,ear,171,au,alternative spelling of áu (“ear”),alternative spelling of áu (“ear”)
61891,ō,ear,712,ó,alternative form of áu (“ear”),alternative form of áu (“ear”)
61892,arae,temple,1943,arae,temple (of the head),temple (of the head)
62330,ith,"(*nourishment), grain, cereal",478,ith,"corn, grain","corn, grain"
63364,cōiced,fifth,1494,cóiced,fifth,fifth
64452,ēn,bird,545,én,bird,bird
64880,letha,broader,3454,letha,comparative degree of lethan,comparative degree of lethan
67465,sāith,satiety,424,saith,alternative spelling of sáith,alternative spelling of sáith
67661,sal,dirt,140,sal,dirt,dirt
67678,saile,saliva,1127,saile,"saliva, sputum, spittle","saliva, sputum, spittle"
68061,suide,"seat, to sit",3384,suide,verbal noun of saidid,verbal noun of saidid
68798,sechem,the following,4487,sechem,alternative spelling of seichem,alternative spelling of seichem
68799,sech,"past, beyond, namely",835,sech,"past, beyond","past, beyond"
68868,rosc,"eye, gaze",3176,rosc,eye,eye
68996,slān,whole; healthy,1772,slán,"healthy, sound","healthy, sound"
69121,cumme,similar,2178,cumme,alternative spelling of cummae,alternative spelling of cummae
69158,samail,"image, likeness",2246,samail,verbal noun of samlaidir,verbal noun of samlaidir
69466,sen,old,389,sen,old,old
70264,scīath,"shoulder blade, wing",1498,scíath,wing,wing
70303,scīath,shield,1497,scíath,"shield, buckler","shield, buckler"
74012,se,this,187,se,alternative form of so used after palatalized consonants and front vowels,alternative form of so used after palatalized consonants and front vowels
74013,-se,augment particle of 1st sg.,1312,-se,alternative form of -sa (used after slender consonants and front vowels),alternative form of -sa (used after slender consonants and front vowels)
74017,sī,they,223,sí,alternative spelling of síi,alternative spelling of síi
75824,tāid,thief,1618,táid,thief,thief
76052,ētach,garment,2301,étach,verbal noun of in·tuigethar,verbal noun of in·tuigethar
76309,techt,"the going, the messenger",3386,techt,verbal noun of téit,verbal noun of téit
77258,torc,boar,501,torc,boar,boar
77272,toll,hollow,358,toll,"hole, hollow","hole, hollow"
77273,toll,"cave, hole",358,toll,"hole, hollow","hole, hollow"
77803,sel,"turn, rotation, period of time",220,sel,"a turn, a time, a while","a turn, a time, a while"
77978,sē,six,510,sé,six,six
78143,son,sound,50,son,sound,sound
78349,serb,bitter,632,serb,bitter (of flavour),bitter (of flavour)
79248,tét,string,1508,tét,cord,cord
79251,tēit,goes,3343,téit,to go,to go
79473,tē,hot,230,té,"hot, warm (of temperature)","hot, warm (of temperature)"
79859,tri,through,202,tri,through,through
80014,tart,thirst,399,tart,thirst,thirst
80384,tūath,"people, tribe, land",1542,túath,tribe,tribe
80644,traig,foot,1851,traig,foot,"(usually human, occasionally animal) foot"
80654,trāig,beach,1852,tráig,"strand, shore","strand, shore"
80733,tri,three,1150,trí,three,three
81151,tū,you,508,tú,"you (singular nominative), thou","you (singular nominative), thou"
81172,do,your,87,do,your (singular),your (singular)
81688,ūasal,high,1587,úasal,high,high
81695,ūall,"high spirits, arrogance",4814,úall,"vanity, pride","vanity, pride"
82007,fāith,"seer, prophet",2325,fáith,"seer, soothsayer","(paganism) seer, soothsayer"
82039,fot,length,311,fot,length,length
82402,fecht,"journey, time, occasion",1086,fecht,"course, journey, expedition","course, journey, expedition"
82776,find,white,112,find,white,white
82808,toīsech,leader,2563,toísech,"leader, chief","leader, chief"
82868,airde,sign,536,airde,"sign, token","sign, token"
82885,fīad,coram,1673,fíad,"game, wild animals","game, wild animals"
83008,fecht,military campaign,1086,fecht,"course, journey, expedition","course, journey, expedition"
83145,fiach,"mutuum, debt, obligation",4110,fíach,"due, obligation","due, obligation"
84168,fine,"kinship, tribe, family",313,fine,"family, kin, group of people of common descent","family, kin, group of people of common descent"
85283,fīr,true,3113,fír,true,true
