"4499","ānser","41041",\N,"2588",\N
"4500","bīmus","41808",\N,"5107",\N
"4501","aduentus","44021",\N,"1024",\N
"4502","balneum","44410",\N,"4655",\N
"4503","bardus","44791",\N,"4728",\N
"4504","bitūmen","44907",\N,"5174",\N
"4505","accendō","47038",\N,"313",\N
"4506","auceps","47084",\N,"4196",\N
"4507","antecellō","48022",\N,"2617",\N
"4508","auscultō","48511",\N,"4377",\N
"4509","acclīnis","51222",\N,"362",\N
"4510","atque","52929",\N,"4073",\N
"4511","anculus","53164",\N,"2393",\N
"4512","abluō","56520",\N,"117",\N
"4513","blandus","58235",\N,"5210",\N
"4514","amurca","59411",\N,"2276",\N
"4515","acupedius","61660",\N,"620",\N
"4516","accipiter","61661",\N,"351",\N
"4517","atrōx","61712",\N,"4103",\N
"4518","aboleō","61761",\N,"142",\N
"4519","amārus","61781",\N,"2020",\N
"4520","aruīna","62052",\N,"3671",\N
"4521","asser","62116",\N,"3842",\N
"4522","aurīga","62206",\N,"4341",\N
"4523","auris","62255",\N,"4357",\N
"4524","appāreō","62437",\N,"2979",\N
"4525","acupedius","62529",\N,"620",\N
"4526","appellō","63257",\N,"2992",\N
"4527","angiportus","64269",\N,"2441",\N
"4528","accipiter","64829",\N,"351",\N
"4529","aplūda","65595",\N,"2894",\N
"4530","bibō","65697",\N,"5024",\N
"4531","birotus","67240",\N,"5140",\N
"4532","ama","69531",\N,"1995",\N
"4533","ancaesa","70500",\N,"2366",\N
"4534","ancīle","70501",\N,"2375",\N
"4535","auspex","74839",\N,"4386",\N
"4536","aspernor","75285",\N,"3792",\N
"4537","asper","75286",\N,"3780",\N
"4538","agrestis","76055",\N,"1554",\N
"4539","antistes","76067",\N,"2776",\N
"4540","absurdus","78858",\N,"254",\N
"4541","abstēmius","79653",\N,"225",\N
"4542","bisōn","83984",\N,"5158",\N
"4543","auerta","84987",\N,"4473",\N
"4544","aduersus","85389",\N,"1045",\N
"4545","aperiō","85589",\N,"2844",\N
"4546","fulciō","146",\N,"18153",\N
"4547","fungor","313",\N,"18265",\N
"4548","flīxī","374",\N,"17598",\N
"4549","doleō","726",\N,"13987",\N
"4550","domō","759",\N,"14046",\N
"4551","domō","760",\N,"14046",\N
"4552","factud","1108",\N,\N,\N
"4553","fīnxī","1136",\N,"17428",\N
"4554","fiuō","1148",\N,"17382",\N
"4555","fīxī","1157",\N,\N,\N
"4556","nāscī","1483",\N,"29063",\N
"4557","iaciō","2260",\N,"24097",\N
"4558","quaero","2751",\N,"38185",\N
"4559","exuī","2932",\N,"16696",\N
"4560","lēuī","2958",\N,"25572",\N
"4561","mulgeō","2985",\N,"28500",\N
"4562","cloāre","3722",\N,"8277",\N
