index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
5,326,inquit,verb,inquam,inqui,advcl,17,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quit']",[ɪŋkʷɪt̪],2,\N,P4
6,326,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,2,\N,P4
7,326,falsae,adjective,falsus,fals,amod,8,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fal', 'sae']",[faɫsaj],2,\N,P4
8,326,opinionis,noun,opinio,opinion,nmod,9,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['o', 'pi', 'ni', 'o', 'nis']",[ɔpɪn̪ɪ̣jɔn̪ɪs],2,\N,P4
9,326,supplicium,noun,supplicium,supplici,obj,10,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['sup', 'pli', 'ci', 'um']",[sʊpplɪkɪ̣jũː],2,\N,P4
10,326,luas,verb,luo,lu,ccomp,5,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['lu', 'as']",[lʊjas],2,\N,P4
11,326,",",punctuation,",",",",punct,5,\N,\N,"[',']",\N,2,\N,P4
12,326,id,pronoun,is,id,obj,15,"{Case: [accusative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], Person: [third], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['id'],[ɪd̪],2,\N,P4
13,326,rebus,noun,res,reb,obl:arg,15,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_e], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['re', 'bus']",[rɛbʊs],2,\N,P4
14,326,iure,noun,ius,iur,obl,15,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['iu', 're']",[jʊrɛ],2,\N,P4
15,326,imputare,verb,imputo,imputar,xcomp,17,"{Aspect: [imperfective], InflClass: [lat_a], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['im', 'pu', 'ta', 're']",[ɪmpʊt̪arɛ],2,\N,P4
16,326,non,particle,non,non,advmod:neg,17,{Polarity: [neg]},{F: [pos]},['non'],[n̪ɔn̪],2,\N,P4
17,326,possis,verb,possum,poss,root,-1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pos', 'sis']",[pɔssɪs],2,\N,P4
18,326,.,punctuation,.,.,punct,17,\N,\N,['.'],\N,2,\N,P4
0,327,nam,particle,nam,nam,discourse,16,\N,{F: [pos]},['nam'],[n̪ãː],2,\N,P4
1,327,si,subordinating_conjunction,si,si,mark,8,\N,{F: [pos]},['si'],[sɪ],2,\N,P4
2,327,te,pronoun,tu,t,obj,8,"{Case: [accusative], InflClass: [lat_anom], Number: [singular], Person: [second], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['te'],[t̪ɛ],2,\N,P4
3,327,hoc,determiner,hic,hoc,obj,8,"{Case: [nominative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['hoc'],[hɔk],2,\N,P4
4,327,inane,adjective,inanis,inan,amod,5,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['in', 'a', 'ne']",[ɪn̪an̪ɛ],2,\N,P4
5,327,nomen,noun,nomen,nomen,nsubj,8,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['no', 'men']",[n̪ɔmɛn̪],2,\N,P4
6,327,fortuitae,adjective,fortuitus,fortuit,amod,7,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['for', 'tu', 'i', 'tae']",[fɔrt̪ujt̪aj],2,\N,P4
7,327,felicitatis,noun,felicitas,felicitat,nmod,5,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fe', 'li', 'ci', 'ta', 'tis']",[fɛlɪkɪt̪at̪ɪs],2,\N,P4
8,327,mouet,verb,moueo,moue,advcl,16,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['mo', 'u', 'et']",[mɔwɛt̪],2,\N,P4
9,327,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,2,\N,P4
10,327,quam,subordinating_conjunction,quam,quam,mark,13,{PronominalType: [relative]},{F: [pos]},['quam'],[kʷãː],2,\N,P4
11,327,pluribus,determiner,multus,plur,det,12,"{Case: [ablative], Degree: [comparative], Gender: [masculine], InflClass: [ind_eur_x], Numeral: [cardinal], Number: [plural], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['plu', 'ri', 'bus']",[plʊrɪbʊs],2,\N,P4
12,327,maximisque,adjective,magnusque,maxim,obl,13,"{Case: [ablative], Degree: [absolute_superlative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['ma', 'xi', 'mis', 'que']",[maksɪmɪskʷɛ],2,\N,P4
13,327,abundes,verb,abo,abund,advcl,16,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['a', 'bun', 'des']",[abʊn̪d̪ɛs],2,\N,P4
14,327,me,pronoun,ego,m,obj,13,"{Case: [accusative], InflClass: [lat_anom], Number: [singular], Person: [first], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['me'],[mɛ],2,\N,P4
15,327,cum,adposition,cum,cum,mark,16,\N,"{F: [pos], N: [neg], V: [neg]}",['cum'],[kũː],2,\N,P4
16,327,reputes,verb,redo,reput,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'pu', 'tes']",[rɛpʊt̪ɛs],2,\N,P4
17,327,licet,subordinating_conjunction,licet,lice,mark,16,\N,{F: [pos]},"['li', 'cet']",[lɪkɛt̪],2,\N,P4
18,327,.,punctuation,.,.,punct,16,\N,\N,['.'],\N,2,\N,P4
0,328,igitur,particle,igitur,igitur,discourse,18,\N,{F: [pos]},"['i', 'gi', 'tur']",[ɪgɪt̪ʊr],2,\N,P4
1,328,si,subordinating_conjunction,si,si,mark,9,\N,{F: [pos]},['si'],[sɪ],2,\N,P4
2,328,quod,subordinating_conjunction,quod,quod,mark,9,\N,{F: [pos]},['quod'],[kʷɔd̪],2,\N,P4
3,328,in,adposition,in,in,case,7,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],2,\N,P4
4,328,omni,determiner,omnis,omn,det,7,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular], PronominalType: [total]}","{F: [pos], N: [pos], V: [neg]}","['om', 'ni']",[ɔmn̪ɪ],2,\N,P4
