index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
7,1085,quod,subordinating_conjunction,quod,quod,mark,9,\N,{F: [pos]},['quod'],[kʷɔd̪],4,\N,P2
8,1085,non,particle,non,non,advmod:neg,9,{Polarity: [neg]},{F: [pos]},['non'],[n̪ɔn̪],4,\N,P2
9,1085,uult,verb,uolo,uul,acl,6,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'ult']",[wʊɫt̪],4,\N,P2
10,1085,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N,4,\N,P2
11,1085,at,verb,at,at,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['at'],[at̪],4,\N,P2
12,1085,si,subordinating_conjunction,si,si,mark,14,\N,{F: [pos]},['si'],[sɪ],4,\N,P2
13,1085,potestas,noun,potestas,potest,nsubj,14,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['po', 'tes', 'tas']",[pɔt̪ɛst̪as],4,\N,P2
14,1085,absit,verb,absum,absi,advcl,11,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ab', 'sit']",[apsɪt̪],4,\N,P2
15,1085,uoluntas,noun,uoluntas,uolunt,nsubj,14,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['u', 'o', 'lun', 'tas']",[wɔlʊn̪t̪as],4,\N,P2
16,1085,frustra,adverb,frustra,frustr,advmod,14,\N,"{F: [neg], N: [pos], V: [pos]}","['frus', 'tra']",[frʊst̪ra],4,\N,P2
17,1085,sit,auxiliary,sum,si,advcl,14,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['sit'],[sɪt̪],4,\N,P2
18,1085,.,punctuation,.,.,punct,11,\N,\N,['.'],\N,4,\N,P2
0,1086,quo,pronoun,qui,quo,obl,1,"{Case: [ablative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quo'],[kʷɔ],4,\N,P2
1,1086,fit,verb,fio,fi,root,-1,"{Aspect: [imperfective], InflClass: [lat_i], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['fit'],[fɪt̪],4,\N,P2
2,1086,ut,subordinating_conjunction,ut,ut,mark,21,{PronominalType: [relative]},{F: [pos]},['ut'],[ʊt̪],4,\N,P2
3,1086,",",punctuation,",",",",punct,2,\N,\N,"[',']",\N,4,\N,P2
4,1086,si,subordinating_conjunction,si,si,mark,6,\N,{F: [pos]},['si'],[sɪ],4,\N,P2
5,1086,quem,pronoun,qui,qu,obj,7,"{Case: [accusative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quem'],[kʷẽː],4,\N,P2
6,1086,uideas,verb,uideo,uide,csubj:relcl,21,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'i', 'de', 'as']",[wɪd̪ɛ̣jas],4,\N,P2
7,1086,adipisci,verb,adipiscor,adipisc,xcomp,6,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['a', 'di', 'pis', 'ci']",[ad̪ɪpɪskɪ],4,\N,P2
8,1086,uelle,verb,uolo,uell,xcomp,6,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'el', 'le']",[wɛɫlɛ],4,\N,P2
9,1086,quod,subordinating_conjunction,quod,quod,mark,11,\N,{F: [pos]},['quod'],[kʷɔd̪],4,\N,P2
10,1086,minime,adverb,parue,minim,advmod,11,{Degree: [absolute_superlative]},"{F: [neg], N: [pos], V: [pos]}","['mi', 'ni', 'me']",[mɪn̪ɪmɛ],4,\N,P2
11,1086,adipiscatur,verb,adipiscor,adipisca,ccomp,8,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['a', 'di', 'pis', 'ca', 'tur']",[ad̪ɪpɪskat̪ʊr],4,\N,P2
12,1086,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,4,\N,P2
13,1086,huic,determiner,hic,huic,obl:arg,19,"{Case: [dative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['huic'],[hujk],4,\N,P2
14,1086,obtinendi,verb,obtineo,obtinend,acl,13,"{Aspect: [prospective], Case: [genitive], Gender: [neuter], InflClass: [lat_e, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['ob', 'ti', 'nen', 'di']",[ɔpt̪ɪn̪ɛn̪d̪ɪ],4,\N,P2
15,1086,quod,subordinating_conjunction,quod,quod,mark,16,\N,{F: [pos]},['quod'],[kʷɔd̪],4,\N,P2
16,1086,uoluerit,verb,uolo,uolueri,ccomp,14,"{Aspect: [perfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'o', 'lu', 'e', 'rit']",[wɔlʊjɛrɪt̪],4,\N,P2
17,1086,defuisse,verb,disum,defuiss,xcomp,16,"{Aspect: [perfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['de', 'fu', 'is', 'se']",[d̪ɛfujssɛ],4,\N,P2
18,1086,ualentiam,noun,ualentia,ualenti,obj,19,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['u', 'a', 'len', 'ti', 'am']",[walɛn̪t̪ɪ̣jãː],4,\N,P2
19,1086,dubitare,verb,dubito,dubitar,xcomp,21,"{Aspect: [imperfective], InflClass: [lat_a], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['du', 'bi', 'ta', 're']",[d̪ʊbɪt̪arɛ],4,\N,P2
20,1086,non,particle,non,non,advmod:neg,21,{Polarity: [neg]},{F: [pos]},['non'],[n̪ɔn̪],4,\N,P2
21,1086,possis,verb,possum,poss,csubj:pass,1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pos', 'sis']",[pɔssɪs],4,\N,P2
22,1086,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,4,\N,P2
0,1087,--,verb,-o,--,obl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1087,perspicuum,adjective,perspicuus,perspicu,root,-1,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['per', 'spi', 'cu', 'um']",[pɛrspɪkʊjũː],4,\N,P2
2,1087,est,auxiliary,sum,est,cop,1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],4,\N,P2
3,1087,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N,4,\N,P2
4,1087,inquam,verb,inquam,inqu,csubj,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quam']",[ɪŋkʷãː],4,\N,P2
5,1087,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,4,\N,P2
6,1087,nec,coordinating_conjunction,nec,nec,cc,10,\N,{F: [pos]},['nec'],[n̪ɛk],4,\N,P2
7,1087,ullo,determiner,ullus,ull,det,8,"{Case: [ablative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['ul', 'lo']",[ʊɫlɔ],4,\N,P2
8,1087,modo,noun,modus,modo,obl,9,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['mo', 'do']",[mɔd̪ɔ],4,\N,P2
9,1087,negari,verb,nego,negar,xcomp,10,"{Aspect: [imperfective], InflClass: [lat_a], VerbForm: [infinitive], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['ne', 'ga', 'ri']",[n̪ɛgarɪ],4,\N,P2
10,1087,potest,verb,possum,potes,conj,4,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'test']",[pɔt̪ɛst̪],4,\N,P2
11,1087,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,4,\N,P2
0,1088,--,verb,-o,--,obl,6,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1088,quem,pronoun,qui,qu,obj,3,"{Case: [accusative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quem'],[kʷẽː],4,\N,P2
2,1088,uero,adverb,uero,uero,discourse,6,\N,"{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ro']",[wɛrɔ],4,\N,P2
3,1088,effecisse,verb,efficio,effeciss,xcomp,6,"{Aspect: [perfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ef', 'fe', 'cis', 'se']",[ɛffɛkɪssɛ],4,\N,P2
4,1088,quod,pronoun,qui,quod,obj,5,"{Case: [accusative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quod'],[kʷɔd̪],4,\N,P2
5,1088,uoluerit,verb,uolo,uolueri,ccomp:relcl,3,"{Aspect: [perfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'o', 'lu', 'e', 'rit']",[wɔlʊjɛrɪt̪],4,\N,P2
6,1088,uideas,verb,uideo,uide,root,-1,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'i', 'de', 'as']",[wɪd̪ɛ̣jas],4,\N,P2
7,1088,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,4,\N,P2
8,1088,num,subordinating_conjunction,num,n,mark,10,\N,{F: [pos]},['num'],[n̪ũː],4,\N,P2
9,1088,etiam,adverb,etiam,etiam,advmod:emph,10,{<class 'NoneType'>: [None]},"{F: [neg], N: [pos], V: [pos]}","['e', 'ti', 'am']",[ɛt̪ɪ̣jãː],4,\N,P2
10,1088,potuisse,verb,possum,potuiss,ccomp,6,"{Aspect: [perfective], InflClass: [lat_anom], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'tu', 'is', 'se']",[pɔt̪ujssɛ],4,\N,P2
11,1088,dubitatis,verb,dubito,dubitat,advcl:abs,10,"{Aspect: [perfective], Case: [ablative], Gender: [masculine], InflClass: [lat_a, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['du', 'bi', 'ta', 'tis']",[d̪ʊbɪt̪at̪ɪs],4,\N,P2
12,1088,?,punctuation,?,?,punct,6,\N,\N,['?'],\N,4,\N,P2
0,1089,--,verb,-o,--,advcl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1089,minime,adverb,parue,minim,root,-1,{Degree: [absolute_superlative]},"{F: [neg], N: [pos], V: [pos]}","['mi', 'ni', 'me']",[mɪn̪ɪmɛ],4,\N,P2
2,1089,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,4,\N,P2
0,1090,--,verb,-o,--,obl,17,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1090,quod,subordinating_conjunction,quod,quod,mark,4,\N,{F: [pos]},['quod'],[kʷɔd̪],4,\N,P2
2,1090,uero,adverb,uero,uero,discourse,4,\N,"{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ro']",[wɛrɔ],4,\N,P2
3,1090,quisque,determiner,quisque,quisque,nsubj,4,"{Case: [nominative], <class 'NoneType'>: [None], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['quis', 'que']",[kʷɪskʷɛ],4,\N,P2
4,1090,potest,verb,possum,potes,csubj:pass,17,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'test']",[pɔt̪ɛst̪],4,\N,P2
5,1090,in,adposition,in,in,case,6,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],4,\N,P2
6,1090,eo,pronoun,is,e,obl,7,"{Case: [ablative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], Person: [third], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['e', 'o']",[ɛ̣jɔ],4,\N,P2
7,1090,ualidus,adjective,ualidus,ualid,xcomp,4,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['u', 'a', 'li', 'dus']",[walɪd̪ʊs],4,\N,P2
8,1090,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,4,\N,P2
9,1090,quod,pronoun,qui,quod,nsubj,12,"{Case: [nominative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quod'],[kʷɔd̪],4,\N,P2
10,1090,uero,adverb,uero,uero,discourse,12,\N,"{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ro']",[wɛrɔ],4,\N,P2
11,1090,non,particle,non,non,advmod:neg,12,{Polarity: [neg]},{F: [pos]},['non'],[n̪ɔn̪],4,\N,P2
12,1090,potest,verb,possum,potes,csubj:relcl,17,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'test']",[pɔt̪ɛst̪],4,\N,P2
13,1090,in,adposition,in,in,case,14,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],4,\N,P2
14,1090,hoc,determiner,hic,hoc,obl,15,"{Case: [ablative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['hoc'],[hɔk],4,\N,P2
15,1090,imbecillis,adjective,imbecillis,imbecill,xcomp,17,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['im', 'be', 'cil', 'lis']",[ɪmbɛkɪɫlɪs],4,\N,P2
16,1090,esse,auxiliary,sum,ess,cop,15,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive]}","{F: [pos], N: [neg], V: [pos]}","['es', 'se']",[ɛssɛ],4,\N,P2
17,1090,censendus,verb,censendo,censend,root,-1,"{Aspect: [prospective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['cen', 'sen', 'dus']",[keːn̪sɛn̪d̪ʊs],4,\N,P2
18,1090,est,auxiliary,sum,est,aux:pass,17,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],4,\N,P2
19,1090,.,punctuation,.,.,punct,17,\N,\N,['.'],\N,4,\N,P2
0,1091,--,verb,-o,--,obl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1091,fateor,verb,fateor,fateo,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['fa', 'te', 'or']",[fat̪ɛ̣jɔr],4,\N,P2
2,1091,",",punctuation,",",",",punct,3,\N,\N,"[',']",\N,4,\N,P2
3,1091,inquam,verb,inquam,inqu,ccomp,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quam']",[ɪŋkʷãː],4,\N,P2
4,1091,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,4,\N,P2
0,1092,--,verb,-o,--,obl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1092,meministine,verb,meministo,meministin,advcl,4,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['me', 'mi', 'nis', 'ti', 'ne']",[mɛmɪn̪ɪst̪ɪn̪ɛ],4,\N,P2
2,1092,igitur,particle,igitur,igitur,discourse,4,\N,{F: [pos]},"['i', 'gi', 'tur']",[ɪgɪt̪ʊr],4,\N,P2
3,1092,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N,4,\N,P2
4,1092,inquit,verb,inquam,inqui,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quit']",[ɪŋkʷɪt̪],4,\N,P2
5,1092,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,4,\N,P2
6,1092,superioribus,adjective,superior,superior,amod,7,"{Case: [ablative], Degree: [comparative], Gender: [feminine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['su', 'pe', 'ri', 'o', 'ri', 'bus']",[sʊpɛrɪ̣jɔrɪbʊs],4,\N,P2
7,1092,rationibus,noun,ratio,ration,obl,9,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ra', 'ti', 'o', 'ni', 'bus']",[rat̪ɪ̣jɔn̪ɪbʊs],4,\N,P2
8,1092,esse,auxiliary,sum,ess,aux:pass,9,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive]}","{F: [pos], N: [neg], V: [pos]}","['es', 'se']",[ɛssɛ],4,\N,P2
9,1092,collectum,verb,collecio,collect,ccomp,4,"{Aspect: [perfective], Case: [accusative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['col', 'lec', 'tum']",[kɔɫlɛkt̪ũː],4,\N,P2
10,1092,intentionem,noun,intentio,intention,nsubj:pass,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['in', 'ten', 'ti', 'o', 'nem']",[ɪn̪t̪ɛn̪t̪ɪ̣jɔn̪ẽː],4,\N,P2
11,1092,omnem,determiner,omnis,omn,det,10,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular], PronominalType: [total]}","{F: [pos], N: [pos], V: [neg]}","['om', 'nem']",[ɔmn̪ẽː],4,\N,P2
12,1092,uoluntatis,noun,uoluntas,uoluntat,nmod,10,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['u', 'o', 'lun', 'ta', 'tis']",[wɔlʊn̪t̪at̪ɪs],4,\N,P2
13,1092,humanae,adjective,humanus,human,amod,12,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['hu', 'ma', 'nae']",[hʊman̪aj],4,\N,P2
14,1092,",",punctuation,",",",",punct,18,\N,\N,"[',']",\N,4,\N,P2
15,1092,quae,pronoun,qui,quae,nsubj:pass,18,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quae'],[kʷaj],4,\N,P2
16,1092,diuersis,adjective,diuersus,diuers,amod,17,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['di', 'u', 'er', 'sis']",[d̪ɪwɛrsɪs],4,\N,P2
17,1092,studiis,noun,studium,studi,obl,18,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['stu', 'di', 'is']",[st̪ʊd̪ɪ̣jɪs],4,\N,P2
18,1092,agitur,verb,ago,agi,acl:relcl,12,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['a', 'gi', 'tur']",[agɪt̪ʊr],4,\N,P2
19,1092,",",punctuation,",",",",punct,22,\N,\N,"[',']",\N,4,\N,P2
20,1092,ad,adposition,ad,ad,case,21,\N,"{F: [pos], N: [neg], V: [neg]}",['ad'],[ad̪],4,\N,P2
21,1092,beatitudinem,noun,beatitudo,beatitudin,obl:arg,22,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['be', 'a', 'ti', 'tu', 'di', 'nem']",[bɛ̣jat̪ɪt̪ʊd̪ɪn̪ẽː],4,\N,P2
22,1092,festinare,verb,festino,festinar,conj,9,"{Aspect: [imperfective], InflClass: [lat_a], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['fes', 'ti', 'na', 're']",[fɛst̪ɪn̪arɛ],4,\N,P2
23,1092,?,punctuation,?,?,punct,4,\N,\N,['?'],\N,4,\N,P2
0,1093,--,verb,-o,--,obl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1093,memini,verb,memini,memin,root,-1,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [first], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['me', 'mi', 'ni']",[mɛmɪn̪ɪ],4,\N,P2
2,1093,",",punctuation,",",",",punct,3,\N,\N,"[',']",\N,4,\N,P2
3,1093,inquam,verb,inquam,inqu,ccomp,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quam']",[ɪŋkʷãː],4,\N,P2
4,1093,",",punctuation,",",",",punct,8,\N,\N,"[',']",\N,4,\N,P2
5,1093,illud,determiner,ille,ill,nsubj,8,"{Case: [accusative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['il', 'lud']",[ɪɫlʊd̪],4,\N,P2
6,1093,quoque,adverb,quoque,quoque,advmod,8,\N,"{F: [neg], N: [pos], V: [pos]}","['quo', 'que']",[kʷɔkʷɛ],4,\N,P2
7,1093,esse,auxiliary,sum,ess,aux:pass,8,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive]}","{F: [pos], N: [neg], V: [pos]}","['es', 'se']",[ɛssɛ],4,\N,P2
8,1093,demonstratum,verb,demonstro,demonstrat,ccomp,3,"{Aspect: [perfective], Case: [accusative], Gender: [neuter], InflClass: [lat_a, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['de', 'mon', 'stra', 'tum']",[d̪ɛmɔːn̪st̪rat̪ũː],4,\N,P2
9,1093,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,4,\N,P2
0,1094,--,verb,-o,--,obl,16,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],4,\N,P2
1,1094,num,subordinating_conjunction,num,n,mark,6,\N,{F: [pos]},['num'],[n̪ũː],4,\N,P2
2,1094,recordaris,noun,recordaris,recordar,nsubj:pass,16,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['re', 'cor', 'da', 'ris']",[rɛkɔrd̪arɪs],4,\N,P2
3,1094,beatitudinem,noun,beatitudo,beatitudin,nsubj,6,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['be', 'a', 'ti', 'tu', 'di', 'nem']",[bɛ̣jat̪ɪt̪ʊd̪ɪn̪ẽː],4,\N,P2
4,1094,ipsum,determiner,ipse,ips,det,3,"{Case: [accusative], Form: [pos], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['ip', 'sum']",[ɪpsũː],4,\N,P2
5,1094,esse,auxiliary,sum,ess,cop,6,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive]}","{F: [pos], N: [neg], V: [pos]}","['es', 'se']",[ɛssɛ],4,\N,P2
